Country Name		Indicator Name		1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba		"Intentional homicide count and rate per 100,000 population in the most populous city, by country/territory (2005-2012)"																																																								
Andorra			Rate																																																0	0	2.7	2.5	2.7			
Afghanistan																																																										
Angola																																																										
Albania			Rate																																														5.7	4.5	5	4.3	6	7.9	6.7			
Arab World																																																										
United Arab Emirates			Rate																																														1.9	1.5								
Argentina			Rate																																														4.3	3.8	3.9	4.6	4.9					
Armenia			Rate																																																			1.5	1.8	1.7		
American Samoa																																																										
Antigua and Barbuda																																																										
Australia			Rate																																														1.2	1.4	1.1							
Austria			Rate																																														1.3	1.1	1.2	0.9	1.1	1	1.5	1.4		
Azerbaijan			Rate																																														3.7	3.6	3.3	3.3		3.3				
Burundi																																																										
Belgium			Rate																																														3.1	3.6	1.9	4.1	3	2.8	2.1	2.6		
Benin																																																										
Burkina Faso																																																										
Bangladesh			Rate																																														3.6	5.3								
Bulgaria			Rate																																														3.1	2.2	1.9	2.2	2.1	1.6	1.5	1.8		
Bahrain																																																										
"Bahamas, The"			Rate																																														13.3	19.3	24.1	22.9	28.5	31.3	44.2			
Bosnia and Herzegovina			Rate																																														1.8	2	2	2						
Belarus			Rate																																														4.8	4.9	2.7	3.1	2.6					
Belize			Rate																																														74.2	68.7	65.1	72.5	81	102.1	105.1			
Bermuda																																																										
Bolivia			Rate																																														5.5	5.2								
Brazil			Rate																																														24.7	16.2	15	11.9	11.6	11.2	9.4	14.2		
Barbados																																																										
Brunei Darussalam			Rate																																														0	0.7								
Bhutan																																																										
Botswana			Rate																																																		16.1					
Central African Republic																																																										
Canada			Rate																																														1.9	1.8	1.9	1.8	1.5	1.4	1.3			
Central Europe and the Baltics																																																										
Switzerland			Rate																																																		1.1	3	0.3			
Channel Islands																																																										
Chile			Rate																																														4.5	3.9	4.8	3.8	4.2	3.4	3.9			
China			Rate																																														0.5	0.5	0.3	0.5	0.7	0.5	0.2	0.4		
Cote d'Ivoire																																																										
Cameroon																																																										
"Congo, Rep."																																																										
Colombia			Rate																																														24	18.6	19.3	19.9	22.1	23	21.6	16.5		
Comoros																																																										
Cabo Verde																																																										
Costa Rica			Rate																																															13.6	19.1	27.1	23.1	19.5	21.2	17.7		
Caribbean small states																																																										
Cuba																																																										
Curacao																																																										
Cayman Islands																																																										
Cyprus			Rate																																														1	2.6	1	1	1	1.3	0.6	2		
Czech Republic			Rate																																														1.2	1.7	1.7	1.2	1.5	1.3	0.8	1.4		
Germany			Rate																																														1.8	1.5	1.2	1.2	1.8	1.1	1			
Djibouti																																																										
Dominica																																																										
