,"Intentional homicide count and rate per 100,000 population in the most populous city, by country/territory (2005-2012)",,,,,,,,,,,,
,Intentional homicide is defined as unlawful death purposefully inflicted on a person by another person,,,,,,,,,,,,
Country,Region,Sub-region,City, Source,Indicator,Year,,,,,,,
Country Name,,,,,,2005,2006,2007,2008,2009,2010,2011,2012
Kenya,Africa,Eastern Africa,Nairobi,CTS,Count,196,177,121,117,133,140,191,209
,,,,,Rate,7,6.1,4.1,3.9,4.4,4.5,6.1,6.1
Mauritius,,,Port Louis,CTS,Count,8,5,8,14,11,12,8,
,,,,,Rate,5.4,3.4,5.4,9.4,7.4,8.1,5.4,
Mozambique,,,Maputo,CTS,Count,104,75,92,53,39,,,
,,,,,Rate,9.7,6.9,8.4,4.8,3.5,,,
South Sudan,,,Juba,UN-PKO,Count,,,,,,,,132
,,,,,Rate,,,,,,,,12
Uganda,,,Kampala,CTS,Count,,,,401,459,360,,
,,,,,Rate,,,,13.4,15.3,12,,
United Republic of Tanzania,,,Dar es Salaam,NGO,Count,362,,,,,,,
,,,,,Rate,12.8,,,,,,,
Zambia,,,Lusaka,National police,Count,121,129,162,46,142,121,,
,,,,,Rate,8.9,9,10.8,2.9,8.6,7,,
Democratic Republic of the Congo,,Middle Africa,Kinshasa,UN-PKO,Count,,,,,,163,,
,,,,,Rate,,,,,,1.6,,
Sao Tome and Principe,,,Sao Tome,CTS,Count,,2,2,2,3,,,
,,,,,Rate,,3.6,3.6,3.6,5.3,,,
Algeria,,Northern Africa,Algiers,CTS,Count,21,22,38,47,35,31,40,
,,,,,Rate,0.8,0.8,1.4,1.7,1.3,1.1,1.4,
Egypt,,,Cairo,CTS,Count,21,44,62,93,74,200,271,
,,,,,Rate,0.2,0.4,0.6,0.8,0.7,1.8,2.4,
Morocco,,,Casablanca,CTS,Count,44,30,41,36,52,,,
,,,,,Rate,1.2,0.8,1.1,1,1.4,,,
Sudan,,,Khartoum,CTS,Count,,,,263,,,,
,,,,,Rate,,,,5,,,,
Botswana,,Southern Africa,Gaborone,CTS,Count,,,,,36,,,
,,,,,Rate,,,,,16.1,,,
Lesotho,,,Maseru,CTS,Count,,,146,136,141,,,
,,,,,Rate,,,64.1,59.7,61.9,,,
South Africa,,,Cape Town,National police,Count,"1,797","2,016","2,018",,,,,
,,,,,Rate,55.4,61,59.9,,,,,
Ghana,,Western Africa,Accra,National police,Count,,,,46,48,,,
,,,,,Rate,,,,1.3,1.3,,,
Liberia,,,Monrovia,UN-PKO,Count,,,46,68,58,50,,
,,,,,Rate,,,4.8,7,5.9,4.9,,
Sierra Leone,,,Freetown,CTS,Count,,,52,72,,,,
,,,,,Rate,,,5.8,8,,,,
Bahamas,Americas,Caribbean,Nassau,CTS,Count,33,48,60,57,71,78,110,
,,,,,Rate,13.3,19.3,24.1,22.9,28.5,31.3,44.2,
Dominican Republic,,,Santo Domingo,CTS,Count,,,,,,,,661
,,,,,Rate,,,,,,,,29.1
Haiti,,,Port au Prince,UN-PKO,Count,,,294,162,297,495,,
,,,,,Rate,,,23.8,13.1,24.1,40.1,,
Jamaica,,,Kingston,CTS,Count,331,565,727,641,632,441,328,
,,,,,Rate,50.8,86.7,111.5,98.3,97,67.7,50.3,
Saint Kitts and Nevis,,,Basseterre,National police/CTS,Count,5,4,8,8,12,6,17,
,,,,,Rate,32.5,25.6,50.6,50,73.2,35.5,131.6,
Trinidad and Tobago,,,Port of Spain,CTS,Count,117,99,86,164,127,93,94,
,,,,,Rate,21.4,18.1,15.7,30,23.2,17,17.2,
Belize,,Central America,Belize City,CTS,Count,44,42,41,47,54,70,74,
,,,,,Rate,74.2,68.7,65.1,72.5,81,102.1,105.1,
Costa Rica,,,San Jose,CTS,Count,,46,65,93,80,68,61,55
,,,,,Rate,,13.6,19.1,27.1,23.1,19.5,21.2,17.7
El Salvador,,,San Salvador,CTS,Count,,,,,,,277,157
,,,,,Rate,,,,,,,89.9,52.5
Guatemala,,,Guatemala City,CTS/National police,Count,"1,098","1,161","1,239","1,172","1,272","1,253",,
,,,,,Rate,111.4,115.7,121.3,112.8,120.3,116.6,,
Honduras,,,Tegucigalpa,SES,Count,,,,674,805,"1,046","1,175",
,,,,,Rate,,,,62.5,73,92.9,102.2,
Mexico,,,Mexico City,CTS,Count,698,649,714,713,747,811,779,
,,,,,Rate,7.9,7.3,8,8,8.4,9.2,8.8,
Nicaragua,,,Managua,CTS,Count,162,178,,,,236,,
,,,,,Rate,11.7,14.1,,,,18.7,,
Panama,,,Panama City,CTS,Count,257,247,305,465,610,549,530,492
,,,,,Rate,15.9,14.9,18.1,27,34.6,30.6,60.2,53.1
Canada,,Northern America,Toronto,CTS,Count,99,96,103,101,84,79,78,
,,,,,Rate,1.9,1.8,1.9,1.8,1.5,1.4,1.3,
United States of America,,,New York City,CTS,Count,539,596,496,523,471,536,515,419
,,,,,Rate,6.5,7.1,5.9,6.3,5.6,6.4,6.3,5.1
Argentina,,South America,Buenos Aires,CTS,Count,130,116,119,139,150,,,
,,,,,Rate,4.3,3.8,3.9,4.6,4.9,,,
Bolivia (Plurinational State of),,,La Paz,CTS,Count,46,44,,,,,,
,,,,,Rate,5.5,5.2,,,,,,
Brazil,,,Sao Paolo,Secretaria de Seguranca Publica,Count,"2,684","1,770","1,648","1,322","1,301","1,263","1,069","1,621"
,,,,,Rate,24.7,16.2,15,11.9,11.6,11.2,9.4,14.2
Chile,,,Santiago de Chile,CTS,Count,253,221,278,224,250,205,239,
,,,,,Rate,4.5,3.9,4.8,3.8,4.2,3.4,3.9,
Colombia,,,Bogota,National Institute of Forensic Medicine,Count,"1,689","1,336","1,401","1,466","1,649","1,743","1,654","1,281"
,,,,,Rate,24,18.6,19.3,19.9,22.1,23,21.6,16.5
Ecuador,,,Quito,CTS/SES,Count,229,277,,239,223,290,230,
,,,,,Rate,11.4,13.8,,11.9,11.1,14.4,11.4,
Paraguay,,,Asuncion,CTS,Count,68,55,69,105,57,48,,
,,,,,Rate,13.1,10.6,13.3,20.2,11,9.2,,
Peru,,,Lima,CTS,Count,500,484,712,563,497,,,
,,,,,Rate,6.2,5.9,8.4,6.5,5.7,,,
Uruguay,,,Montevideo,CTS/Ministry of Interior,Count,,90,86,107,112,107,112,
,,,,,Rate,,6.8,6.5,8,8.4,8,8.4,
Venezuela (Bolivarian Republic of),,,Caracas,NGO,Count,"1,926","2,218","2,710","2,653","2,550",,,
,,,,,Rate,88,107,130.5,127,122,,,
Kazakhstan,Asia,Central Asia,Almaty,CTS,Count,173,164,130,170,134,125,140,127
,,,,,Rate,13.6,12.6,9.8,12.6,9.7,8.9,9.7,8.6
Kyrgyzstan,,,Bishkek,CTS,Count,130,104,93,89,80,88,81,
,,,,,Rate,16.5,12.9,11.2,10.5,9.2,9.9,9,
Tajikistan,,,Dushanbe,CTS,Count,38,29,26,19,19,24,23,
,,,,,Rate,6,4.5,4,2.9,2.9,3.7,3.6,
Turkmenistan,,,Ashkhabad,CTS,Count,33,33,,,,,,
,,,,,Rate,3.6,3.5,,,,,,
China,,Eastern Asia,Hong Kong,CTS,Count,34,35,18,36,47,35,17,27
,,,,,Rate,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4
Japan,,,Tokyo,CTS,Count,47,55,55,83,54,39,32,
,,,,,Rate,0.4,0.4,0.4,0.6,0.4,0.3,0.2,
Mongolia,,,Ulan Bator,CTS,Count,157,152,143,111,98,119,140,
,,,,,Rate,16.8,15.6,14.1,10.5,8.9,10.5,11.9,
Republic of Korea,,,Seoul,CTS,Count,,199,219,221,250,294,83,
,,,,,Rate,,1.9,2.1,2.1,2.4,2.8,0.8,
Brunei Darussalam,,South-Eastern Asia,Bandar Seri Begawan,CTS,Count,0,1,,,,,,
,,,,,Rate,0,0.7,,,,,,
Indonesia,,,Jakarta,CTS,Count,,,,67,75,86,74,
,,,,,Rate,,,,0.7,0.8,0.9,0.8,
Malaysia,,,Kuala Lampur,CTS,Count,47,70,,,,,,
