Country Name		Indicator Name		1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba		Intentional homicide victims killed by gangs or organised criminal groups as percentage of total homicide victims by country/territory (2005-2012)																																																								
Andorra			CTS																																																	0	0	0				
Afghanistan																																																										
Angola																																																										
Albania		Southern Europe	CTS																																														0	0	0	0	0	0	0			
Arab World																																																										
United Arab Emirates																																																										
Argentina																																																										
Armenia		Western Asia	CTS																																														0	0.03	0.04	0.01	0.05	0	0	0		
American Samoa																																																										
Antigua and Barbuda																																																										
Australia	Asia and Oceania	Australia and New Zealand	CTS																																														0.03	0.04	0.04	0.02	0.02					
Austria																																																										
Azerbaijan			CTS																																																			0.02				
Burundi																																																										
Belgium																																																										
Benin																																																										
Burkina Faso																																																										
Bangladesh																																																										
Bulgaria	Europe	Eastern Europe	CTS																																														0	0.02	0.03	0.01	0.03	0.03	0.02	0.01		
Bahrain																																																										
"Bahamas, The"	Americas	Caribbean	CTS																																														0.37	0.43	0.42	0.44	0.49	0.68	0.65			
Bosnia and Herzegovina																																																										
Belarus																																																										
Belize		Central America	National Police																																														0.14	0.29	0.13	0.15	0.11	0.37				
Bermuda																																																										
Bolivia																																																										
Brazil																																																										
Barbados			National Police																																														0.17	0.23	0.24	0.04	0.16	0.1				
Brunei Darussalam																																																										
Bhutan																																																										
Botswana																																																										
Central African Republic																																																										
Canada		Northern America	CTS																																														0.34	0.36	0.42	0.49	0.45	0.37	0.34			
Central Europe and the Baltics																																																										
Switzerland			CTS																																																		0	0	0			
Channel Islands																																																										
Chile																																																										
China																																																										
Cote d'Ivoire																																																										
Cameroon																																																										
"Congo, Rep."																																																										
Colombia		South America	CTS																																														0.13	0.05	0.04	0.04	0.08	0.09	0.06			
Comoros																																																										
Cabo Verde																																																										
Costa Rica			CTS/SES																																																	0.33	0.31	0.35	0.37			
Caribbean small states																																																										
Cuba																																																										
Curacao																																																										
Cayman Islands																																																										
Cyprus			CTS																																																				0			
Czech Republic			CTS																																																0	0	0	0	0			
Germany																																																										
Djibouti																																																										
Dominica																																																										
Denmark																																																										
Dominican Republic			CTS																																																			0.02	0.03	0.01		
Algeria																																																										
East Asia & Pacific (developing only)																																																										
East Asia & Pacific (all income levels)																																																										
Europe & Central Asia (developing only)																																																										
Europe & Central Asia (all income levels)																																																										
Ecuador																																																										
"Egypt, Arab Rep."																																																										
Euro area																																																										
Eritrea																																																										
Spain			CTS																																																				0.01	0.02		
Estonia																																																										
Ethiopia																																																										
European Union																																																										
Fragile and conflict affected situations																																																										
