,"Intentional homicide victims killed during commission of a robbery as percentage of total homicide victims, by country/territory (2005-2012)",,,,,,,,,,
,Intentional homicide is defined as unlawful death purposefully inflicted on a person by another person,,,,,,,,,,
Country/territory,Region,Sub-region,Source,Year,,,,,,,
Country Name,,,,2005,2006,2007,2008,2009,2010,2011,2012
Bahamas,Americas,Caribbean,CTS,0.1,0.1,0.17,0.23,0.13,0.21,0.11,
Dominican Republic,,,CTS,,,,,,0.18,0.15,0.28
Grenada,,,CTS,,,0,0.06,0,0,0,0.07
Jamaica,,,CTS/SES,,,,0.45,0.38,0.42,0.37,
Trinidad and Tobago,,,CTS,,0.11,0.12,0.1,0.16,0.18,0.15,
Costa Rica,,Central America,CTS,,0.19,0.21,0.23,0.25,0.22,0.21,0.16
El Salvador,,,CTS,,,0,0.01,0.05,0.02,0,0.01
Panama,,,CTS,0.16,0.11,0.09,0.15,0.13,0.08,0.13,0.09
Canada,,Northern America,CTS,0.07,0.06,0.06,0.04,0.09,0.06,0.08,
United States of America,,,CTS,,0.06,0.06,0.06,0.06,0.06,0.05,
Colombia,,South America,CTS,0.03,0.04,0.05,0.04,0.04,0.05,0.04,
Guyana,,,CTS,,,,,,,0.17,
Uruguay,,,CTS,,,,,,,0.16,
Japan,Asia,Eastern Asia,CTS,0.07,0.05,0.05,0.04,0.07,0.08,0.08,
Mongolia,,,CTS,,,0,0,0,0.01,0,
Republic of Korea,,,CTS,,,,,,,0.08,
Singapore,,South-Eastern Asia,CTS,,0.12,0.06,0.15,0.05,0.16,0.06,
Armenia,,Western Asia,CTS,0.05,0.06,0.05,0.12,0.12,0.05,0.05,0.06
Azerbaijan,,,CTS,,,,,,0.02,,
Cyprus,,,CTS,,,,,,,0.22,
Georgia,,,CTS,,,,,,0.01,,
Bulgaria,Europe,Eastern Europe,CTS,0,0.01,0.01,0.02,0.02,0.03,0.06,0.05
Czech Republic,,,CTS,,,0.09,0.12,0.14,0.13,0.05,
Finland,,Northern Europe,CTS,0.06,0.03,0.02,0.01,0.03,0.03,0.02,
Iceland,,,CTS,,,,,,,,0
Albania,,Southern Europe,CTS,0.03,0,0.04,0.03,0.04,0.03,0.02,
Bosnia and Herzegovina,,,CTS,,,,,,0.04,0,
Croatia,,,CTS,,,,,,0.02,0.04,0
Italy,,,CTS,0.05,0.05,0.06,0.05,0.04,0.07,0.05,
Montenegro,,,CTS,,,,,,,0.05,
Spain,,,CTS,,,,,,,0.03,0.03
The former Yugoslav Republic of Macedonia,,,CTS,,0.04,0,0.03,0.09,0.07,0.03,
Austria,,Western Europe,CTS,0.11,0.16,0.27,0.11,0.14,0.06,0.04,
Germany,,,CTS,0.06,0.08,0.09,0.1,0.08,0.09,0.09,
Luxembourg,,,CTS,,,0,0,0,0.1,0.25,
Switzerland,,,CTS,,,,,0.02,0.02,0.02,
Australia,Oceania,Australia and New Zealand,CTS,0.07,0.06,0.06,0.02,0.03,,,
