Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba		Parliamentary VAP turnout																																			81	76.08			84.14								72.41				69.66				69.72	
Andorra																																					80.92				81.59				15.94				21.02				25.98		23.38			
Afghanistan																																																	51.71					29.71				
Angola																																				84.16																92.42				71.58		
Albania																																			98.89	89.21				89.53	63.4				67.3				58.96				69.11				76.68	
Arab World																																																										
United Arab Emirates																																																										
Argentina				67.06		66.29	69.82		66.35								74.99										77.52		77.76		80.14		82.07		89.41		78.09		79.77			78.07	81.32		72.99				70.73		70.88		70.89		77.35		78.08	
Armenia																																							50.61				45.47				60.65				65.15					69.67		
American Samoa																																																										
Antigua and Barbuda				9.29					30.38						50.46					71.51				60.63				49.66					72.53					85.6					72.35					76.34					89.59					69.96
Australia					84.56		85.65			84.66			83.89			85.35		84.31	84.68		84.48			83.97			81.24	84.2			84.14			82.09			83.43			82.99		82.24			84.2			82.37			82.38			81.02			79.67	
Austria						90.28				89.83				89.52	88.23				86.65				86.81				86.91			87.07				80.47				76.02	78.64				72.64			77.45				73.21		75.61					69.31	
Azerbaijan																																							82.51					61.23					36.67	36.03				46.55				
Burundi																																					75.41												70.39					50.81				
Belgium					87.96				88.02			86.18			88.61			85.71			89.91	87.78			94.31				86.32		86.49				85.1				83.2				83.14				85.95				86			84.65				87.21
Benin																																			46.54				73.65				65.85				52.2				61.83							
Burkina Faso														46.31								39.13														26.72					41.29					33.47					37.93					39.67		
Bangladesh																	55.01						47.31							59.16		48.46			61.52					64.57					76.5							78.93						48.54
Bulgaria																																			84.54			80.98			66.9				72.1				62.41				72.43				59.69	60.88
Bahrain																	32.62																													74.48				37.22				13.48				18.45
"Bahamas, The"																54.7					61.4					64.23					63.49					68.46					67.92					69.69					69.19					67.31		
Bosnia and Herzegovina																																								51.92		57.72		52.33		40.86				42.76				58.77				59.32
Belarus																																							54.88					58.24				82.43				69.56				65.92		
Belize																							68.85					65.89					66.86				68.75					65.74					75.08					76.54				66.43		
Bermuda																																															60.19				62.73					57.22		
Bolivia				63.57		66.87		78.92		54.93												82.62	69.05	59.11					65.15				50.98				50.01				64.54					66.82			63.44				85.55					86.19
Brazil						36.86				38.41				42.93								55.53				63.7				70.42				76.57				79.88				81.03				68.37				83.54				80.62				75.09
Barbados					49.86					57.64					69.95					66.28					74.73					79.97					67.38			66.05					68.64				68.13					69.41					69.78	
Brunei Darussalam																																																										
Bhutan																																																			37.16	61.81					53.96	
Botswana									69.42				37.46					26.21					46.37					54.18					47.9					44.63					41.98					44					62.2					55.09
Central African Republic																																					50.28					53.6							45.14						55.67			
Canada						73.31	75.08		70.75			68.35				71.27		64.21					68.39	64.53				67.91				68.34					63.87				57.06			54.64				55.28		58.39		53.59			54.16			
Central Europe and the Baltics																																																										
Switzerland							53.46				53.21				45.02				43.62				40.6				40.79				39.9				39.67				35.66				34.94				37.27				39.79				40.04			
Channel Islands																																																										
Chile					32.06				50.03				45.71				63.23																86.3				81.91				73.14				66.95				63.65				59.63				53.66	
China																																																										
Cote d'Ivoire																																		39.95										23.83											18.16			
Cameroon				57.44																												67.03				44.42					46.7					36.89					34.51						37.55	
"Congo, Rep."																																														80.39												
Colombia				42.84		49.82		35.73		38.5		30.71		45.96				48.4				30.75				38.75				41.1				40.05	25.61			29.18				40.47				40.62				39.42				44.07				45.88
Comoros																						86.46									100.64																											
Cabo Verde																																			71.75				79.48						65.85					79.98					86.18			
Costa Rica						71.49				69.8				75.71				71.39				75.22				79.01				74.75				85.07				84.2				73.72				67.04				54.01				62.26				64.35
Caribbean small states																																																										
Cuba																														82.41							90.69					89.86					90.99					92.24					88.75	
Curacao																																																										
Cayman Islands																																																	32.04								36.03	
Cyprus														54.77						62.25					72.85				77.95						78.63					75.9					77.59					77.83					47.21			
Czech Republic																																		93.06		83.76				77.57		76.73				59.03				65.12				62.22			60.03	
Germany					86.86				80.86				79.86			88.74				83.84				81.84			80.95				75.02			73.1				72.39				75.32				73.46			71.99				64.61				66.04	
Djibouti																																				26.28					29.82						38.98					47.67					26.82	
Dominica					64.93					60.45				65.03					67.99					80.94					74.66					78.83					82.41					87.73					82.1				91.35					97.34
Denmark				85.91				84.77		88.46		87.98			87.31		87.37		86.63		87.74		83.23		86.28			86.04			85.85	82.73		80.42				81.73				83.13			84.34				81.34		83.2				81.83			
Dominican Republic						69.71				80.8				66.3																60.7				45.84				30.56		62.08		45.62				47.03				56.4				58.57				
Algeria																																			60.07						74.13					45.08					32.02					38.7		
East Asia & Pacific (developing only)																																																										
East Asia & Pacific (all income levels)																																																										
Europe & Central Asia (developing only)																																																										
Europe & Central Asia (all income levels)																																																										
Ecuador						31.09																	42.54					56.05		64.93		67.03		64.68				66.3		67.83		48.49				70.26				70.28			91				94.29	
"Egypt, Arab Rep."																				18.95								21.59			27.21			25.03					30.41										19.75					16.16		54.99		
Euro area																																																										
Eritrea																																																										
Spain																					79.36		72.32			83.11				73.72			71.28				77.43			80.56				73.79				76.25				69.94			63.26			
Estonia																																		78.28		40.93			48.84				45.95				48.12				53.44				55.45			
Ethiopia																																							76.02					59.98					66.19					71.17				
European Union																																																										
Fragile and conflict affected situations																																																										
Finland						85.46				85.14				83.63		84.48			80.29				81.32				81.1				77.25				71.93				71.13				65.21				69.96				68.18				70.07			
Fiji																																				64.03		55.69					74.84		77.04					55.54								93.22
France						60.99					71.14	69.36					70.63					63.4			63.92					69.91		58.14					61.29				59.86					47.25					43.43					46.08		
Faeroe Islands																																										87				89.83		90.95				87.63						
"Micronesia, Fed. Sts."																																							62.96				29.46								82.38		55.59				64.88	
Gabon																																																							28.24			
United Kingdom								75.13		73.77				71.15				77.88					75.06				71.7				75.17					75.36					69.39				57.56				58.32					61.06				
Georgia																																				67.09			54.15				58.76				54.78	42.77				51.7				59		
Ghana													42.13										37.11													30.01				67.96				64.55				79.98				66.59				82.05		
Guinea																																							59.91							77.47											62.99	
"Gambia, The"																44.15					68.17					56.86					53.74					55.26					56.71					13.88					32.75					16.83		
Guinea-Bissau																																						32.09					129.11					65.21				64.25						79.07
Equatorial Guinea																																											24.51					74.58										
Greece					86.34		85.32	83.64										82.73			82.41				84.48				87.35				85.84				85.61			83.88				89.02				87.66			79.59		79.24			69.36		
Grenada					49.18	48.75					59.19					70.06				74.69								68.75						78.94					83.98				80.11				98.24					107.56					85.02	
Greenland																																																										
Guatemala					19.01					23.73				25.9				25.63				22.93				30.6			49.82					40.97				14.46	33.38				31.13				49.28				57.19				69.99			
Guam																																																										
Guyana								92.81				111.91					109.52							91.36					65.82							63.71					80.16				72.56					66.44					75			
High income																																																										
"Hong Kong SAR, China"																																																										
Honduras									59.91						49.78									59.11	69.14				77.79				75.71				63.49				67.98				72.34				50.69				53.13				69.17	
Heavily indebted poor countries (HIPC)																																																										
Croatia																																				74.92			72.17					80.95			71.96				70.84				66.09			
Haiti																																		52.69					33.07					60.54						22.82								
Hungary																																		65.52				69.43				59.03				71.55				68.84				63.67				63.36
Indonesia															85.92						86.74					89					87.53					87.6					92.81		85.69					87.6					74.04					82.93
Isle of Man																																																										
India						54.42					63.11				57.22						64.67			62.35				64.61					65.18		57.23					61.08		67.45	65.69					60.91					56.45					70.29
Not classified																																																										
Ireland					70.96				74.43				77.22				77.76				85.17				78.78	76.33					77.87		71.23			73.65					67.38					66.98					68.89				63.78			
"Iran, Islamic Rep."																																				24.71				73.08												54.08				61.81		
Iraq																																																	89.22					70.12				76.81
Iceland							89.39				88.96				89.37			87.56				89.56	90.59				88.19				92.32				88.67				87.83				86.18				89.12				84.65		84.74				80.01	
Israel					80.44				82.41				83.01				81.77				80.39				79.85			80.43				82.39				81.73				84.67			84.45		69.57		76.11			71.16			70.24			73.19		
Italy							95.31					93.1				94.7				95.43			92.75				91.76				94.4					92.34		90.84		87.35					84.92					82.13		79.13					68.33	
Jamaica						73.65					54.86					57.27				84.83				74.74			2.14						58.96				44.67				48.77					50.89					49.56				46.18			
Jordan																																	28.47				34.71				26.56						44.19				43.64			33.88			34.11	
Japan				71.38			68.62				73.36		68.63			73.86				73.55			68.18	74.7			67.6			71.53				74.95			66.25			60.27				59.02			59.07		66.62				69.34			59.67		51.97
Kazakhstan																																							64.3				53.57					48.42			57.54					56.88		
Kenya																																				40.88					46.67					38.51					54.49						55.6	
Kyrgyz Republic																																							50.47					61.16							63.63			45.62				
Cambodia																																					88.84					92.16					77.92					75.91					77.09	
Kiribati																		33.34				63.79				74.71	78.04								49.64																44.8							
St. Kitts and Nevis					48.27					54.48					46.77				56.48					70.31				71.68					66.04				74.5		69.55					84.77				91.42						76.25				
"Korea, Rep."											79.01				74.81		68.04					75.27			78.42				84.26			73.76				74.59				65.32				55.74				59.46				46.59				57.06		
Kosovo																																																65.28			55.89			61.31				61.7
Kuwait																			11.93						8.26				8.46							18.45				22.86										19.42		12.29				12.93	12.17	
Latin America & Caribbean (developing only)																																																										
Lao PDR																																									90.29					88.6				89.03					88.21			
Lebanon																																				61.35				80.83				61.12					54.75				66.34					
Liberia																																																	70.6						67.39			
Libya																																																								48.72		15.64
St. Lucia					41.41			43.65					59.58					78.08					82.73			64.49					67.3					77.02					89.58				64.42					74.45					76.71			
Latin America & Caribbean (all income levels)																																																										
Least developed countries: UN classification																																																										
Low income																																																										
Liechtenstein						66.13				62.07				62.84				56.89				56.61				56.61				60.27			59.58				55.58				53.84				56.76				57.62				56.46				52.7	
Sri Lanka				54.97					65.86					71.83							76.78												58.09					74.14						82.16	72.24			70.78						58.32				
Lower middle income																																																										
Low & middle income																																																										
Lesotho									65.82					70.13																							59.6					61.71				49.61					38.63					50.32		
Lithuania																																				70.21				49.96				50.43				43.33				46.15				55.86		
Luxembourg								72.55				67.79						73.74					68.48					66.83					64.07					60.52					56.92					56.5					53.2				55.12	
Latvia																																		80.95			57.72		50.64			51.91				55.08				50.18				52.46	53.02			51.69
"Macao SAR, China"																																																										
St. Martin (French part)																																																										
Morocco														65.38							73.12							47.57									51.77				50.21					39.98					27.83				28.65			
Monaco												14.74					15.17					13.26					13.23					12.55					12					11.7					17.86					18.29					19.88	
Moldova																																						64.13				56.98			63.77				48.66				46.36	50.21				58.82
Madagascar														86.01													76.42						73.38				54.14					40.64				50.87											35.29	
Maldives																																	70.49					81.53											55.38				59.11					75.68
Middle East & North Africa (all income levels)																																																										
Mexico					43.11			54.36			53.59			65.48			65.19			55.32			41.76			63.82			45.11			41.37			49.99			65.89			54.36			48.2			43.44			63.62			47.77			63.71		
Marshall Islands																																																			52.64							
Middle income																																																										
"Macedonia, FYR"																																						47.85				48.94				85.35				64.5		67.08			69.37			68.96
Mali																																				21.85					21.46					23.56					38.96						33.97	
Malta						79.41				76.73					77.55					89.81					86.03						95.57					95.33				98.02		95.93					95.35					88.88					91.72	
Myanmar																																		64.57																				63.35				
Middle East & North Africa (developing only)																																																										
Montenegro																																																		65.84			61.15			71.01		
Mongolia																																		87.23		86.11				73.64				70.96				64.91				60.47				56.24		
Northern Mariana Islands																																																										
Mozambique																																						66.38					58.21					35.56					42.5					44.87
Mauritania																																				42.46				47.71					47.3					30.55							56.41	
Mauritius																				84.43						91.46	77.04				84.63				82.45				77.09					79.57					75.34					72.63				71.23
Malawi																																						67.94					105.91					55.32					50.9					64.04
Malaysia																		40.32				57.25				61.24				64				63.05					63.6				49.62					52.24				53.4					62.95	
North America																																																										
Namibia																																	101.65					63.78					61.71					80.23					67.53					74
New Caledonia																																																										
Niger																																					34.09		37.19				38.83					43.44							45.64			
Nigeria																							41.13				58.23																44.65				46.63								25.8			
Nicaragua							59.74				64.91					74.21		76.92										74.07						73.33						76.25					75.13					80.82					71.84			
Netherlands							87.95				92.07				77.83	90.09					86.27				85.19	80.3				84.22			78.01					75.2				70.12				76.82	77.54			77.48				71.13		71.02		
High income: nonOECD																																																										
Norway					77.67				85.03				85.11				80.06				79.17				82.26				83.65				81.52				74.47				76.77				73.5				76.54				74.74				77.93	
Nepal																									60.36					74.38					83.6			82.77			83.6		75.77									74.42						
New Zealand				85.55			83.32			79.35			85.62			85.31			81.7			82.32			88.86			87.44			81.43			78.62			79.61			83.02			76.11			72.49			79.22			77.84			69.83			72.35
High income: OECD																																																										
OECD members																																																										
Oman																																																			13.28							
Other small states																																																										
Pakistan																					46.94								41.71			42.91		43.4			37.56				31.47					38.93						38.77					41.72	
Panama				23.06																		67.7						52.88										70.13					76.07					79.66					70.53					79.03
Peru						36.32	35.67																	58.01					64.85					56.9					57.69					77.18	78.61					84.09					87.41			
Philippines											53.46		13.43									78.6									78.16					65.29			68.35			66.78			64.75			27.18			54.87			64.7			50.58	
Palau																																				93.23				85.91				81.65								42.6				42.24		
Papua New Guinea								66.77				61.12				61.86					66.44					75.68					76.33					71.03					98.76																	
Poland																																	63.96		44.4		52				48.8				47.63				40.87		54.24				48.54			
Puerto Rico																																																										
"Korea, Dem. Rep."																																																										
Portugal																			89.73	83.29			88.25	87.91			77.43		79.69		78.15				77.71				79.11				69.27			68.62			69.23				66.14		56.93			
Paraguay							73.41					63.99					62.26					66.7					56.99					63.49	53.57				45.42					59.38					47.47					49.86					58.15	
Pacific island small states																																																										
French Polynesia																																																										
Qatar																																																										
Romania																																				76.16				78.2				62.16				62.26				40.48				42.81		
Russian Federation																																					47.22		62.77				61.2				54.34				61.91				57.96			
Rwanda																																															89.92					93.6					99.38	
South Asia																																																										
Saudi Arabia																																																										
Sudan												27.77																												36.22																		
Senegal							82.16															42.01					39.76					37.49					26.8					27.54			40.99						27.59					30.27		
Singapore												8.25				73.85				68.36				45.93				55.79				78.85			43.52						35.35				21.44					32.17					52.95			
Solomon Islands																								54.71				53.04					55.76				60.56				70.72				77.16					70.37				75.73				
Sierra Leone												55.94									47.56																			36.99						77.27					72.06					76.84		
El Salvador				35.66				22.33		27.1		32.01		37.52		35.91						41.5							48.27			43.46			43.97			51.14			82.21			37.95			28.58			52.72			61.65					
San Marino																		79.7				78.98					79.54					81.14					80.3					75.28			102.83					98.06		88.48				82.05		
Somalia													87.08										158.56					142.76																														
Serbia																																																			68.19	70.17				67.55		63.49
Sub-Saharan Africa (developing only)																																																										
South Sudan																																																										
Sub-Saharan Africa (all income levels)																																																										
Small states																																																										
Sao Tome and Principe																																			69.64			49.53				50.54				54.43				62.93				81.66				
Suriname											144.33		145.33				78.66				87.63										83.17				67.77					71.22				72.34					52.99					65.61				
Slovak Republic																																		93.06		83.76		75.93				78.86				71.63				56.4				58.38		57.85		
Slovenia																																				85.52				75.75				72.33				61.09				65.04			66.99			54.09
Sweden				82.76				80.85				86.57		87.31			85.81			88.49			86.94			88.61			86.22			82.68			82.77			82.36				77.72				78.04				80.6				82.63				82.61
Swaziland																																																										
Sint Maarten (Dutch part)																																																										
Seychelles																																					96.07					90.21				98.12					93.49							
