Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,Parliamentary voter turnout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.09,61.66,,,85.77,,,,,,,,85.74,,,,84.81,,,,84.86,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.92,,,,81.59,,,,81.64,,,,80.38,,,,75.34,,74.12,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37,,,,,45.83,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.91,,,,,,,,,,,,,,,,87.36,,,,62.75,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.92,91.5,,,,89.08,72.56,,,,54.95,,,,48.73,,,,50.77,,,,53.31,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,87.07,,85.73,85.59,,83.46,,,,,,,,85.55,,,,,,,,,,83.25,,82.19,,83.61,,84.24,,89.71,,79.7,,80.96,,,78.22,80.54,,75.21,,,,70.94,,73.13,,72.39,,79.39,,77.17,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.91,,,,51.72,,,,55.18,,,,59.99,,,,,62.87,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,37.98,,,,,42.85,,,,,,56.41,,,,,94.97,,,,77.08,,,,61.12,,,,,60.72,,,,,62.32,,,,,63.6,,,,,91.19,,,,,80.27,,,,,90.27
Australia,,,,,95.22,,95.71,,,95.13,,,94.97,,,95.38,,95.4,95.39,,95.08,,,94.35,,,94.64,94.19,,,93.84,,,95.31,,,95.75,,,95.77,,94.99,,,94.85,,,94.32,,,94.76,,,93.22,,,93.23,
Austria,,,,,,93.77,,,,93.8,,,,91.78,92.44,,,,92.9,,,,92.24,,,,92.59,,,90.46,,,,86.14,,,,82.46,85.98,,,,80.42,,,84.27,,,,78.49,,78.81,,,,,74.91,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.05,,,,,67.99,,,,,40.47,40.47,,,,49.76,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.38,,,,,,,,,,,,77.23,,,,,66.68,,,,
Belgium,,,,,92.34,,,,91.58,,,90.02,,,91.55,,,90.35,,,95.07,94.87,,,94.56,,,,93.59,,93.38,,,,92.71,,,,91.15,,,,90.57,,,,91.63,,,,91.08,,,89.22,,,,89.37
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.68,,,,75.8,,,,70.11,,,,55.9,,,,58.69,,,,,,,
Burkina Faso,,,,,,,,,,,,,,48.29,,,,,,,,40.24,,,,,,,,,,,,,,33.8,,,,,44.53,,,,,64.14,,,,,56.43,,,,,75.96,,
Bangladesh,,,,,,,,,,,,,,,,,54.91,,,,,,51.29,,,,,,,60.31,,51.81,,,55.45,,,,,75.6,,,,,74.97,,,,,,,85.26,,,,,,51.37
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.87,,,75.23,,,58.87,,,,66.63,,,,55.76,,,,60.64,,,,52.49,51.05
Bahrain,,,,,,,,,,,,,,,,,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,73.6,,,,67,,,,52.6
"Bahamas, The",,,,,,,,,,,,,,,,100.29,,,,,89.92,,,,,89.76,,,,,87.9,,,,,91.85,,,,,91.71,,,,,90.03,,,,,92.13,,,,,90.78,,
