Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba		Presidential VAP turnout																																																								
Andorra																																																										
Afghanistan																																																67.54					35.06					50.03
Angola																																				87.51																						
Albania																																																										
Arab World																																																										
United Arab Emirates																																																										
Argentina							69.82										72.92										77.52						82.82						79.77				79.38				76.93				72.24				77.35			
Armenia																																								56.35		61.24					78.5					77.19					74.21	
American Samoa																																																										
Antigua and Barbuda																																																										
Australia																																																										
Austria							92.71		92.21						91.68			88.53						86.72						83.65						75.66						68.59						66.5						49.12				
Azerbaijan																																					94.14					71.98					63.4					66.97					58.56	
Burundi																																					80.14																	58.69				
Belgium																																																										
Benin																																			57.23					72.9					55.35					74.23					68.39			
Burkina Faso																																			27.34							46.92							36.4					23				
Bangladesh																									49.93					53.1																												
Bulgaria																																				80.48				52.16					61.78					46.14					56.14			
Bahrain																																																										
"Bahamas, The"																																																										
Bosnia and Herzegovina																																								56.35		57.72				40.86				39.32				58.75				59.32
Belarus																																						65.68							81.34					86.18				81.66				
Belize																																																										
Bermuda																																																										
Bolivia				63.57				78.92		54.93												82.62	69.05	59.11					65.15				50.64				50.01				64.54					66.82			63.44				85.55					90.54
Brazil				33.43																													79.36					76.85				81.03				79.12				83.57				77.29				74.72
Barbados																																																										
Brunei Darussalam																																																										
Bhutan																																																										
Botswana																																																										
Central African Republic																																					50.28						63.71						45.14						55.71			
Canada																																																										
Central Europe and the Baltics																																																										
Switzerland																																																										
Channel Islands																																																										
Chile								55.19						55.27																			86.29				81.47							72.36						63.26				59.14			45.74	
China																																																										
Cote d'Ivoire																																		65.85					31.16					28.06										53.9				
Cameroon																																67.83				55					53.67							45.28							50.25			
"Congo, Rep."																																														86.59							72.56					
Colombia																																														44.83				44.15				44.86				52.42
Comoros																																		77.79						59.06						37.99				52.14				56.13				
Cabo Verde																																													71.69					78.59					56.61			
Costa Rica						71.45				69.8				75.65				71.42				75.32				79.02				81.47				85.09				84.22				73.72				58.65				63.96				62.27				52.57
Caribbean small states																																																										
Cuba																																																										
Curacao																																																										
Cayman Islands																																																										
Cyprus																																					78.74					85.59					78.31					78.84					49.57	
Czech Republic																																																									59	
Germany																																																										
Djibouti																																					26.11						29.01						67.82						25.98			
Dominica																																																										
Denmark																																																										
Dominican Republic						69.71				80.8				66.3				69.37				62.85				65.62				60.7				48.78						60.54				65.33				69.45				71.63				70.21		
Algeria																																							80.1				63.77					53.6					65.86					43.57
East Asia & Pacific (developing only)																																																										
East Asia & Pacific (all income levels)																																																										
Europe & Central Asia (developing only)																																																										
Europe & Central Asia (all income levels)																																																										
Ecuador				36.24								33.95										39.67	42.6					62.54				67.07				70.66				71.67		71.97				69.57				84.12			90.47				94.57	
"Egypt, Arab Rep."																																																	16.41							49.62		47.14
Euro area																																																										
Eritrea																																																										
Spain																																																										
Estonia																																																										
Ethiopia																																																										
European Union																																																										
Fragile and conflict affected situations																																																										
Finland						81.81						67.05										69.3				88.06						82.48						81.41						76.81						77.56						67.52		
Fiji																																																										
France									74.92				67.87					72.42							77.04							76.42							72.26							69.92					76.75					71.18		
Faeroe Islands																																																										
"Micronesia, Fed. Sts."																																																										
Gabon																														223.7							57.94					49.3							42.98				40.01					
United Kingdom																																																										
Georgia																																							54.44					65.25				56.07				55.38					47.34	
Ghana																																				60.15				82.48				65.13				79.98				69.84				82.2		
Guinea																																					75.46					75.38					97.38							54.94				
"Gambia, The"																																								72.68					61.32					50.66					73.53			
