Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																									99.16637421										99.32309723				
Andorra	AND	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Afghanistan	AFG	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																				11.14279842																																32.11322403			
Angola	AGO	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																										63.18211746											66.361763		
Albania	ALB	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																										99.49808502							99.12132263			98.85623932			
Arab World	ARB	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																															62.9756088										75.82277691										84.61471776				
United Arab Emirates	ARE	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																56.27696991										84.51428986																				97.0017395									
Argentina	ARG	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																					97.3024826											98.54020691										99.12767029											99.42427826		
Armenia	ARM	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																														99.91056824												99.86167145											99.82219696		
American Samoa	ASM	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																					97.44364929																																		
Antigua and Barbuda	ATG	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Australia	AUS	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Austria	AUT	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Azerbaijan	AZE	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																								99.90148926								100		99.94578552	99.93333435	99.9317627	99.91766357		
Burundi	BDI	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																				21.48686028											48.01126099										70.36529541								88.11345673						
Belgium	BEL	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Benin	BEN	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																				18.25518417													26.69029045										33.23800278				30.78655243								
Burkina Faso	BFA	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																6.664056778																14.17374516					13.98534298							24.81137085		26.4828968	26.53412437	33.12532425							
Bangladesh	BGD	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																						27.15100861										37.98974609										60.2562294											81.91162109		
Bulgaria	BGR	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																										98.10977173										97.65106201			
Bahrain	BHR	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																						82.0774231										96.5787735										97.25061035									97.58233643				
"Bahamas, The"	BHS	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Bosnia and Herzegovina	BIH	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																									99.84362793												99.68727112		
Belarus	BLR	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																														99.80054474										99.82820892										99.84739685					
Belize	BLZ	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																76.70195007																							
Bermuda	BMU	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Bolivia	BOL	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																	75.8401413																91.565979									96.11461639						99.14457703	98.87940979	99.08429718		98.77201843	98.82861328		
Brazil	BRA	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																					85.23654938																				95.71901703				97.90385437		98.36165619	98.55942535	98.53111267	98.69203949	98.31874084	99.07314301	99.01782227		
Barbados	BRB	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Brunei Darussalam	BRN	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																						93.23891449										98.08379364										98.91217041											99.74884796		
