"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8817596435547","","","","","","","","","","98.9657287597656","","","","",
"Andorra","AND","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","45.7960166931152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.8790702819824","","","",
"Angola","AGO","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7769317626953","","","","","","","","","","","79.750846862793","","",
"Albania","ALB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3684539794922","","","","","","","98.5371246337891","","","98.7313537597656","","","",
"Arab World","ARB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7288967033251","","","","","","","","","","87.2333699891366","","","","","","","","","","91.2608475267535","","","","",
"United Arab Emirates","ARE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","65.5117416381836","","","","","","","","","","81.0138320922852","","","","","","","","","","","","","","","","","","","","93.6251525878906","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","96.4592208862305","","","","","","","","","","","98.0654907226563","","","","","","","","","","98.7079010009766","","","","","","","","","","","99.0578994750977","","",
"Armenia","ARM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9093704223633","","","","","","","","","","","","99.7523422241211","","","","","","","","","","","99.6828384399414","","",
"American Samoa","ASM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.8886184692383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8703384399414","","","","","","","","100","","99.956787109375","99.9674530029297","99.9560317993164","99.9550018310547","","",
"Burundi","BDI","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","40.9319915771484","","","","","","","","","","","59.4978408813477","","","","","","","","","","76.7800216674805","","","","","","","","89.5927505493164","","","","","","",
"Belgium","BEL","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","45.7106437683105","","","","","","","","","","","","","55.1302185058594","","","","","","","","","","59.205078125","","","","54.8669395446777","","","","","","","","",
"Burkina Faso","BFA","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","22.3771266937256","","","","","","","","","","","","","","","","26.7888011932373","","","","","25.4782619476318","","","","","","","38.3810882568359","","40.3798065185547","39.8218650817871","46.7337417602539","","","","","","","",
"Bangladesh","BGD","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","44.3621597290039","","","","","","","","","","51.7367362976074","","","","","","","","","","67.1638107299805","","","","","","","","","","","78.0068435668945","","",
"Bulgaria","BGR","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3096694946289","","","","","","","","","","98.0669250488281","","","",
