Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																									98.88175964										98.96572876				
Andorra	AND	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
Afghanistan	AFG	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																				45.79601669																																61.87907028			
Angola	AGO	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																										83.77693176											79.75084686		
Albania	ALB	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																										99.36845398							98.53712463			98.73135376			
Arab World	ARB	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																															81.7288967										87.23336999										91.26084753				
United Arab Emirates	ARE	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																65.51174164										81.01383209																				93.62515259									
Argentina	ARG	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																					96.45922089											98.06549072										98.707901											99.05789948		
Armenia	ARM	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																														99.90937042												99.75234222											99.68283844		
American Samoa	ASM	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																					97.88861847																																		
Antigua and Barbuda	ATG	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
Australia	AUS	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
Austria	AUT	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
Azerbaijan	AZE	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																								99.87033844								100		99.95678711	99.967453	99.9560318	99.95500183		
Burundi	BDI	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																				40.93199158											59.49784088										76.78002167								89.59275055						
Belgium	BEL	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
Benin	BEN	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																				45.71064377													55.13021851										59.20507813				54.86693954								
Burkina Faso	BFA	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																22.37712669																26.78880119					25.47826195							38.38108826		40.37980652	39.82186508	46.73374176							
Bangladesh	BGD	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																						44.36215973										51.7367363										67.16381073											78.00684357		
Bulgaria	BGR	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																										98.30966949										98.06692505			
Bahrain	BHR	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																						89.69038391										97.25866699										96.82707977									98.61991119				
"Bahamas, The"	BHS	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
Bosnia and Herzegovina	BIH	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																									99.74819946												99.67919922		
Belarus	BLR	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																														99.73197937										99.75687408										99.80032349					
Belize	BLZ	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																76.1361618																							
Bermuda	BMU	"Literacy rate, youth male (% of males ages 15-24)"	SE.ADT.1524.LT.MA.ZS																																																							
