"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.132997751236","96.6639995574951","96.9619989395142","94.7539985179901","93.190997838974","92.3009991645813","93.7619984149933","95.525997877121","95.6330001354218","96.1009979248047","97.0830023288727","98.6720025539398","97.1480011940002","102.506995201111","","",
"Andorra","AND","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","107.737994194031","","","","","","","","96.095997095108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","17.2440007328987","16.7520001530647","17.1149998903275","17.88399964571","17.7369996905327","18.5489997267723","19.1440001130104","20.066000521183","20.702999830246","","23.2529997825623","23.9549994468689","50.7979989051819","","47.9299992322922","49.0390002727509","54.9549996852875","","50.925999879837","53.5369992256165","55.2209973335266","54.6329975128174","","34.400001168251","48.8489985466003","49.4500011205673","","","","8.20299983024597","0","0","44.8500007390976","55.3730010986328","42.7610009908676","57.7979981899261","61.9369983673096","61.1249983310699","63.5060012340546","65.6530022621155","67.8009986877441","71.0940003395081","71.807998418808","70.0230002403259","",
"Angola","AGO","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","54.6739995479584","56.5410017967224","","","","","","","","","","86.9260013103485","82.7160000801086","","","81.9859981536865","81.700998544693","79.7749996185303","83.4919989109039","91.5390014648438","91.483998298645","85.8910024166107","","","","","","82.4360013008118","","","","","","","","","","85.8120024204254","84.9279999732971","81.2669992446899","63.9819979667664","","","",
"Albania","ALB","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","93.9000010490417","","94.854998588562","94.761997461319","95.8819985389709","95.4800009727478","96.1920022964478","97.6840019226074","96.0479974746704","97.0229983329773","97.5090026855469","95.727002620697","98.4520018100739","97.6880013942719","97.4240005016327","97.6369976997375","98.8219976425171","101.333999633789","97.7219998836517","96.5979993343353","97.1170008182526","97.5080013275146","97.6530015468597","97.7559983730316","98.1249988079071","99.4319975376129","95.5510020256042","96.1650013923645","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","64.7469997406006","64.5780026912689","65.1229977607727","65.845000743866","66.5189981460571","67.2510027885437","67.9250001907349","68.9409971237183","70.0030028820038","72.5359976291656","73.938000202179","75.2040028572083","76.1250019073486","76.6480028629303","77.2610008716583","78.1710028648376","79.1010022163391","79.9310028553009","79.8110008239746","81.002002954483","81.6839993000031","81.8300008773804","82.889997959137","83.4630012512207","83.6279988288879","84.5690011978149","81.7449986934662","84.7010016441345","85.4229986667633","86.1840009689331","87.0299994945526","88.0959987640381","88.7440025806427","89.385998249054","89.8710012435913","90.310001373291","90.4690027236938","90.6899988651276","91.2890017032623","91.7079985141754","92.0970022678375","91.6890025138855","92.6360011100769","","",
"United Arab Emirates","ARE","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","67.8120017051697","65.7679975032806","72.1780002117157","78.4590005874634","82.9200029373169","90.0600016117096","94.2520022392273","97.2580015659332","100.03399848938","99.4740009307861","97.6909995079041","98.2980012893677","98.3820021152496","98.2020020484924","97.7349996566772","99.015998840332","97.3389983177185","95.8639979362488","95.3000009059906","95.4890012741089","96.2509989738464","96.9839990139008","98.377001285553","98.0799973011017","97.8799998760223","99.0339994430542","98.0690002441406","98.60600233078","98.5610008239746","","","","95.2709972858429","94.4180011749268","95.6390023231506","98.7469971179962","97.1239984035492","","91.9219970703125","92.5849974155426","93.0069983005524","97.3730027675629","","",
"Argentina","ARG","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","100.559997558594","100.440001487732","100.007998943329","100.427997112274","99.8570024967194","99.8199999332428","99.5620012283325","99.6779978275299","100.92099905014","99.6020019054413","99.7640013694763","99.4579970836639","99.1079986095428","","99.888002872467","100.541996955872","99.3019998073578","100.188994407654","105.431997776031","","99.1980016231537","99.3059992790222","","","","","98.9920020103455","100.072002410889","99.1479992866516","99.099999666214","98.4179973602295","98.7100005149841","98.7240016460419","99.2349982261658","98.7429976463318","98.5639989376068","98.377001285553","98.5050022602081","99.083000421524","98.5520005226135","98.2100009918213","98.8370001316071","98.7429976463318","","",
"Armenia","ARM","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.134999752045","103.368997573853","103.047001361847","103.680002689362","102.295994758606","102.366995811462","104.694998264313","","108.425998687744","99.6110022068024","101.704001426697","101.924002170563","103.48299741745","105.718994140625","108.114004135132","109.5370054245","109.500002861023","110.332000255585","114.144003391266","","","","","",
"American Samoa","ASM","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.063001155853","102.285003662109","101.520001888275","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","92.1540021896362","","","122.847998142242","94.8180019855499","93.3160006999969","102.380001544952","91.4269983768463","97.7789998054504","","","","","86.3569974899292","","","","","","","","91.9260025024414","","","","","","","","","","","","","","","97.3559975624084","95.7759976387024","95.9299981594086","91.5769994258881","91.9920027256012","93.3189988136292","","",
"Australia","AUS","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","99.6460020542145","99.8009979724884","99.9710023403168","100.082004070282","99.4759976863861","99.1829991340637","99.1840004920959","99.1050004959106","99.0360021591187","98.9090025424957","98.6779987812042","98.7489998340607","98.581999540329","98.4589993953705","99.234002828598","99.4440019130707","99.6309995651245","99.8830020427704","99.8759984970093","99.7160017490387","99.6320009231567","99.6949970722198","99.6619999408722","99.6890008449554","99.5660006999969","99.5450019836426","99.4849979877472","99.576997756958","99.7330009937286","99.6879994869232","99.7399985790253","99.6339976787567","99.6999979019165","99.686998128891","99.5809972286224","99.5790004730225","99.5369970798492","99.6479988098145","99.6469974517822","99.6659994125366","99.6749997138977","99.5130002498627","","",
"Austria","AUT","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","99.0000009536743","99.1389989852905","99.3250012397766","99.6919989585876","99.3260025978088","99.2940008640289","99.4930028915405","99.4000017642975","99.4329988956451","99.2730021476746","99.1110026836395","98.8009989261627","98.9700019359589","99.115002155304","99.3910014629364","98.3410000801086","98.9279985427856","98.8990008831024","99.2590010166168","99.7070014476776","99.6999979019165","99.2060005664825","99.2290019989014","99.2299973964691","99.0939974784851","99.3780016899109","99.3420004844666","99.3210017681122","99.1590023040771","98.9139974117279","98.8610029220581","98.7659990787506","99.0689992904663","99.7889995574951","99.4930028915405","98.8139986991882","98.4529972076416","98.1320023536682","98.8619983196259","98.9049971103668","99.4340002536774","99.8480021953583","","",
"Azerbaijan","AZE","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2489993572235","100.247001647949","98.7410008907318","96.451997756958","113.56600522995","109.539997577667","98.7909972667694","98.7919986248016","100.063002109528","98.1610000133514","98.3919978141785","97.5650012493134","94.3490028381348","96.3519990444183","94.5110023021698","93.6280012130737","99.6879994869232","99.4690001010895","98.922997713089","98.9530026912689","98.0520009994507","97.9480028152466","","",
"Burundi","BDI","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","48.3940005302429","49.7979998588562","55.8579981327057","58.6170017719269","59.5990002155304","61.8659973144531","63.1229996681213","62.7619981765747","64.1650021076202","64.0290021896362","64.1740024089813","61.3730013370514","63.1600022315979","65.3649985790253","67.970997095108","70.6350028514862","73.5539972782135","77.8739988803864","79.4589996337891","80.1199972629547","83.6210012435913","81.6150009632111","81.7409992218018","","79.7950029373169","84.5329999923706","83.7379992008209","80.9409976005554","78.3680021762848","79.1639983654022","78.8969993591309","77.3699998855591","79.3439984321594","81.9549977779388","84.3980014324188","89.4169986248016","91.2500023841858","93.1940019130707","94.7499990463257","96.6229975223541","98.2190012931824","99.1869986057281","100.600004196167","",
"Belgium","BEL","Ratio of female to male primary enrollment (%)","SE.ENR.PRIM.FM.ZS","","","","","","","","","","","","98.471999168396","98.4430015087128","100.616002082825","99.4360029697418","99.1630017757416","99.1630017757416","98.9790022373199","99.1110026836395","99.8139977455139","99.481999874115","99.5429992675781","99.5890021324158","100.309002399445","100.589001178741","100.635004043579","100.485002994537","100.850999355316","100.916004180908","100.906002521515","100.907003879547","101.454997062683","101.219999790192","99.0360021591187","98.9189982414246","98.9419996738434","99.0949988365173","","","99.1159975528717","99.3770003318787","99.3160009384155","99.2609977722168","99.0880012512207","99.6079981327057","99.5570003986359","99.4880020618439","99.7399985790253","99.7739970684052","99.6230006217957","99.6519982814789","99.6299982070923","99.413001537323","","",
