Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																																								98.13299775	96.66399956	96.96199894	94.75399852	93.19099784	92.30099916	93.76199841	95.52599788	95.63300014	96.10099792	97.08300233	98.67200255	97.14800119	102.5069952		
Andorra	AND	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																107.7379942								96.0959971																															
Afghanistan	AFG	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											17.24400073	16.75200015	17.11499989	17.88399965	17.73699969	18.54899973	19.14400011	20.06600052	20.70299983		23.25299978	23.95499945	50.79799891		47.92999923	49.03900027	54.95499969		50.92599988	53.53699923	55.22099733	54.63299751		34.40000117	48.84899855	49.45000112				8.20299983	0	0	44.85000074	55.3730011	42.76100099	57.79799819	61.93699837	61.12499833	63.50600123	65.65300226	67.80099869	71.09400034	71.80799842	70.02300024	
Angola	AGO	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												54.67399955	56.5410018										86.92600131	82.71600008			81.98599815	81.70099854	79.77499962	83.49199891	91.53900146	91.4839983	85.89100242						82.4360013										85.81200242	84.92799997	81.26699924	63.98199797			
Albania	ALB	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																	93.90000105		94.85499859	94.76199746	95.88199854	95.48000097	96.1920023	97.68400192	96.04799747	97.02299833	97.50900269	95.72700262	98.45200181	97.68800139	97.4240005	97.6369977	98.82199764	101.3339996	97.72199988	96.59799933	97.11700082	97.50800133	97.65300155	97.75599837	98.12499881	99.43199754	95.55100203	96.16500139											
Arab World	ARB	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											64.74699974	64.57800269	65.12299776	65.84500074	66.51899815	67.25100279	67.92500019	68.94099712	70.00300288	72.53599763	73.9380002	75.20400286	76.12500191	76.64800286	77.26100087	78.17100286	79.10100222	79.93100286	79.81100082	81.00200295	81.6839993	81.83000088	82.88999796	83.46300125	83.62799883	84.5690012	81.74499869	84.70100164	85.42299867	86.18400097	87.02999949	88.09599876	88.74400258	89.38599825	89.87100124	90.31000137	90.46900272	90.68999887	91.2890017	91.70799851	92.09700227	91.68900251	92.63600111		
United Arab Emirates	ARE	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												67.81200171	65.7679975	72.17800021	78.45900059	82.92000294	90.06000161	94.25200224	97.25800157	100.0339985	99.47400093	97.69099951	98.29800129	98.38200212	98.20200205	97.73499966	99.01599884	97.33899832	95.86399794	95.30000091	95.48900127	96.25099897	96.98399901	98.37700129	98.0799973	97.87999988	99.03399944	98.06900024	98.60600233	98.56100082				95.27099729	94.41800117	95.63900232	98.74699712	97.1239984		91.92199707	92.58499742	93.0069983	97.37300277		
Argentina	ARG	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											100.5599976	100.4400015	100.0079989	100.4279971	99.8570025	99.81999993	99.56200123	99.67799783	100.9209991	99.60200191	99.76400137	99.45799708	99.10799861		99.88800287	100.541997	99.30199981	100.1889944	105.4319978		99.19800162	99.30599928					98.99200201	100.0720024	99.14799929	99.09999967	98.41799736	98.71000051	98.72400165	99.23499823	98.74299765	98.56399894	98.37700129	98.50500226	99.08300042	98.55200052	98.21000099	98.83700013	98.74299765		
Armenia	ARM	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																																105.1349998	103.3689976	103.0470014	103.6800027	102.2959948	102.3669958	104.6949983		108.4259987	99.61100221	101.7040014	101.9240022	103.4829974	105.7189941	108.1140041	109.5370054	109.5000029	110.3320003	114.1440034					
American Samoa	ASM	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																															101.0630012	102.2850037	101.5200019																						
Antigua and Barbuda	ATG	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												92.15400219			122.8479981	94.81800199	93.3160007	102.3800015	91.42699838	97.77899981					86.35699749								91.9260025															97.35599756	95.77599764	95.92999816	91.57699943	91.99200273	93.31899881		
Australia	AUS	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												99.64600205	99.80099797	99.97100234	100.0820041	99.47599769	99.18299913	99.18400049	99.1050005	99.03600216	98.90900254	98.67799878	98.74899983	98.58199954	98.4589994	99.23400283	99.44400191	99.63099957	99.88300204	99.8759985	99.71600175	99.63200092	99.69499707	99.66199994	99.68900084	99.5660007	99.54500198	99.48499799	99.57699776	99.73300099	99.68799949	99.73999858	99.63399768	99.6999979	99.68699813	99.58099723	99.57900047	99.53699708	99.64799881	99.64699745	99.66599941	99.67499971	99.51300025		
Austria	AUT	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												99.00000095	99.13899899	99.32500124	99.69199896	99.3260026	99.29400086	99.49300289	99.40000176	99.4329989	99.27300215	99.11100268	98.80099893	98.97000194	99.11500216	99.39100146	98.34100008	98.92799854	98.89900088	99.25900102	99.70700145	99.6999979	99.20600057	99.229002	99.2299974	99.09399748	99.37800169	99.34200048	99.32100177	99.1590023	98.91399741	98.86100292	98.76599908	99.06899929	99.78899956	99.49300289	98.8139987	98.45299721	98.13200235	98.86199832	98.90499711	99.43400025	99.8480022		
Azerbaijan	AZE	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																																99.24899936	100.2470016	98.74100089	96.45199776	113.5660052	109.5399976	98.79099727	98.79199862	100.0630021	98.16100001	98.39199781	97.56500125	94.34900284	96.35199904	94.5110023	93.62800121	99.68799949	99.4690001	98.92299771	98.95300269	98.052001	97.94800282		
Burundi	BDI	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												48.39400053	49.79799986	55.85799813	58.61700177	59.59900022	61.86599731	63.12299967	62.76199818	64.16500211	64.02900219	64.17400241	61.37300134	63.16000223	65.36499858	67.9709971	70.63500285	73.55399728	77.87399888	79.45899963	80.11999726	83.62100124	81.61500096	81.74099922		79.79500294	84.53299999	83.7379992	80.9409976	78.36800218	79.16399837	78.89699936	77.36999989	79.34399843	81.95499778	84.39800143	89.41699862	91.25000238	93.19400191	94.74999905	96.62299752	98.21900129	99.18699861	100.6000042	
Belgium	BEL	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												98.47199917	98.44300151	100.6160021	99.43600297	99.16300178	99.16300178	98.97900224	99.11100268	99.81399775	99.48199987	99.54299927	99.58900213	100.3090024	100.5890012	100.635004	100.485003	100.8509994	100.9160042	100.9060025	100.9070039	101.4549971	101.2199998	99.03600216	98.91899824	98.94199967	99.09499884			99.11599755	99.37700033	99.31600094	99.26099777	99.08800125	99.60799813	99.5570004	99.48800206	99.73999858	99.77399707	99.62300062	99.65199828	99.62999821	99.41300154		
Benin	BEN	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												44.46400106	45.24700046	45.4400003	44.28299963	43.35399866	44.95199919	44.14800107	45.57699859	45.67900002	49.18499887	45.6039995	46.05199993	46.58200145	47.94400036	48.19599986	48.79499972	49.10300076	49.41500127	49.72600043	50.06200075	48.79100025	49.59900081	50.78999996	53.55200171	55.04900217	56.70499802	58.77100229	61.76000237	64.17400241	66.64000154	67.73899794	69.73999739	71.56000137	74.51699972	77.05299854	79.9579978		84.06699896	85.96900105	87.65000105	88.07100058	89.49400187	90.44799805	
Burkina Faso	BFA	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												58.91699791	60.23100019	60.63200235	61.10699773	61.53600216	60.53100228	59.96199846	59.86499786	60.06299853	60.54800153	60.14000177	59.97200012	60.00699997	59.79300141	59.86999869	60.22199988	60.33899784	60.98399758	62.09599972	63.10899854	64.26200271	65.18499851	65.41900039	65.85299969	66.26999974	66.54899716		68.5199976	69.9630022	71.09299898	72.46500254	73.99299741	75.0880003	78.48799825	80.13399839	81.82299733	83.90600085	86.63499951	88.63000274	90.92800021	92.62999892	94.56400275	96.55799866	
Bangladesh	BGD	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											49.34599996	49.00600016	55.65500259	55.72299957	52.026999	54.29900289	54.96900082	61.53200269	61.29900217	61.09600067	60.99900007	70.00700235	71.26799822	60.89500189	69.94900107	69.30599809	69.12699938	69.15799975	80.51699996	81.15500212	84.46000218															105.0760031	106.1100006	107.7610016	106.712997	105.2970052	106.7630053	106.2950015			
Bulgaria	BGR	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												98.59300256	99.02999997	99.23300147	99.24299717	99.01900291	99.48400259	99.86500144	99.79900122	99.82500076	99.30999875	99.57399964	99.96500015	99.91800189	99.86400008	99.70399737	99.60500002	99.22199845	99.20200109	98.58199954	98.13899994	97.91499972	97.72599936	98.00000191	99.80700016	98.70300293	97.91300297	97.58099914	97.28900194	97.17100263	97.28500247	97.44399786	97.973001	98.10799956	98.40800166	98.88700247	98.90699983	99.30199981	100.0509977	100.2930045	99.89799857	99.54699874	99.19099808		
Bahrain	BHR	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												72.21800089	73.03900123	73.822999	74.06700253	75.24300218	76.80900097	79.06000018	81.09999895	83.94500017	85.99399924	88.83699775	87.55800128	94.47199702	95.78199983	99.78399873	101.4009953	102.2819996	101.8249989	101.2590051	103.2369971	101.1950016	101.1870027	102.0470023	102.3219943	101.2519956	99.63700175	98.52499962	98.42100143	97.37200141															
"Bahamas, The"	BHS	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																	102.3309946	103.7099957	105.4419994	105.8990002	105.7770014		104.6810031	101.9009948		100.8999944	101.4070034						100.6860018	101.9569993		100.375998	103.9379954	100.4940033	99.70800281	96.66000009			99.58299994		98.73700142	98.62099886	99.13300276	99.16099906	99.56200123	102.7369976	101.9389987				
Bosnia and Herzegovina	BIH	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																																																							
Belarus	BLR	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS																																		99.32900071	98.57599735	96.08399868	95.71899772	95.23400068	95.52500248	98.22999835	98.61500263	98.78200293	98.65800142	98.90000224	96.92599773	96.77100182	97.92600274	98.48399758	99.51199889	99.36000109	99.82699752	99.88300204	100.0959992	100.2429962	
Belize	BLZ	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												96.63800001			96.39899731		102.1639943	99.96799827									94.19199824	94.9450016				95.52099705	95.43399811	95.17700076	95.26000023	95.7679987	95.42199969	95.82800269		96.38199806	95.40100098	96.13800049	96.35999799	97.26399779	96.89800143	95.83699703	96.84299827	98.40099812	96.8659997	97.23399878	97.18999863	96.73799872	97.47400284	96.0169971	
Bermuda	BMU	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												101.7470002	108.4509969	95.22699714	95.89599967	93.34400296	94.51799989	94.7239995	96.30299807	95.84900141	95.46499848	96.0340023	96.91600204	98.19700122	101.9749999	101.1739969										99.6810019		99.83900189				101.4590025	104.076004	103.5539985	106.2280059	104.9209952	107.4859977				99.89899993	97.98399806	96.62899971		
Bolivia	BOL	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											69.01400089	75.8220017		78.98100019	80.53299785	81.87900186	82.88300037	84.31800008	85.82500219	86.08599901	89.22799826	86.46600246		89.0139997	91.53100252		91.35299921	91.13600254		92.35000014	93.06399822	93.5980022	94.12299991	95.70099711	96.19799852	96.46700025	96.78400159	97.09299803	97.8030026	98.39299917	98.59300256	98.74799848	98.8740027	99.308002	99.61400032		99.79599714	99.72000122	99.33400154	98.82400036	98.66099954	98.48099947	97.82500267	97.04899788	
Brazil	BRA	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											100.0630021	98.78399968	98.50800037	99.14000034	99.07000065					96.1049974										99.27399755										94.35799718	94.29699779	94.53399777	94.52499747	94.52499747	94.54699755	94.18200254									
Barbados	BRB	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS												97.30200171	99.68299866	101.0810018	84.16799903	92.04300046	99.72699881	97.71100283	97.28999734	97.74600267	99.32000041	100.5730033	97.6549983	94.73900199	99.98099804	95.59599757				99.57000017	98.43699932		100.5820036							104.2279959	104.7700047	106.1460018	106.6840053	105.6620002	105.783999	107.4069977	105.3030014	107.3390007	105.3480029	103.8679957	102.3669958	98.59300256			
Brunei Darussalam	BRN	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											97.64099717	95.18899918	95.49300075	95.49099803	95.74000239	96.0160017	96.10000253	97.2299993	96.87399864	96.93300128	95.54100037	96.98200226	98.10799956	97.51300216	96.99500203		98.51899743	96.25399709	97.706002	96.03599906		93.87800097	95.10899782	96.94799781	97.29200006	96.88199759	98.0799973	97.35199809	96.59900069	95.38000226	96.50200009	96.6539979	97.34699726	98.47800136	98.21599722	98.89500141	98.5319972	98.44200015	98.92799854	99.11199808	99.14000034	98.84499907	98.48499894	99.01000261	
Bhutan	BTN	Ratio of female to male primary enrollment (%)	SE.ENR.PRIM.FM.ZS											5.363000184	24.22499955	21.87100053		31.38900101		37.22299933	38.81199956	38.94299865	41.70199931			46.90999985	48.69500101	50.29500127	53.0979991	54.70499992		60.3489995			59.75800157	74.61299896	75.81599951	77.36899853	78.19799781	79.74799871	81.62400126	83.22700262	85.16799808	87.46500015	89.09800053	90.86999893	94.04199719	97.05399871	97.48700261	98.75199795	99.22599792	101.1409998	101.9350052	102.3699999	101.6260028	101.7770052	101.3020039	
