Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																								115.5809999	151.4080048	150.7040024	149.7059941	142.6959991	147.4529982	144.0189958	146.3500023	136.2679958	137.2179985	143.283999	141.2829995	149.9300003	149.5460033	220.4610109	
Andorra	AND	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																																							
Afghanistan	AFG	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS											17.46899933		16.00999981	19.21000034	16.74100012	16.91700071	16.91700071	27.14700103	24.21800047	19.05100048							17.74300039				48.58599901													27.25400031	27.1510005					22.81399965		33.22699964			
Angola	AGO	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																															19.43099946								68.91300082	63.23099732			65.44799805									37.03199923			
Albania	ALB	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												51.32600069	50.43699741						82.20099807			101.5499949		95.00200152	90.50400257	85.78500152	87.52200007	95.22699714	102.7220011	106.4779997	110.9380007	111.4969969	113.4760022	107.0039988	117.2829986	112.887001	115.7840014	127.5920033	126.3910055	141.4579988	139.9539948	147.6040006	152.5210023	157.6660037	159.0549946	152.3859978	143.1040049	145.7679987	138.6250019	142.2500014	138.3479953	135.2759957	131.6910028		
Arab World	ARB	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												55.59399724	55.45600057	55.55199981	55.87599874	56.0559988	56.78600073	54.36699986	53.98200154	55.83099723	56.56999946	57.19299912	57.74000287	58.59199762	59.04200077	60.69599986	59.33300257	59.68199968	64.87600207	67.50599742	70.58399916	73.41700196	73.5830009	75.24799705	75.1240015	76.06899738	76.92700028	78.09000015	80.48999906	82.44400024	84.67299938	86.18699908	89.21800256	93.82799864	92.37599969	95.45400143	97.87999988	95.80699801	103.8210034	104.2889953	104.5259953	105.2710056	107.6390028		
United Arab Emirates	ARE	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																			175.3929973	187.4289989	201.9759893	202.23701	207.4069977	184.8209977	167.7929997	205.2949905	189.1080022	212.6650095	261.8449926	345.8669901	408.0520153	434.9420071	560.8240128	415.8880234																					
Argentina	ARG	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS											76.94100142	83.92500281	87.55400181	85.66899896	84.71400142	93.21100116	93.07000041	91.82400107	99.75299835	97.34799862	100.1199961	113.064003	113.2730007	116.7770028	115.3849959	112.5290036	115.0740027	116.7940021												164.0030026	155.369997	148.4539986	149.2120028	151.5069962	142.4769998	145.7489967	152.4049997	152.3370028	152.5200009	151.2349963	150.9420037	156.2250018	157.2020054		
Armenia	ARM	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																									125.872004	134.2239976	137.6299977	136.108005	152.0069957	153.5539985	148.7030029	149.9670029	152.986002	151.9090056	154.4970036	154.2080045	157.3840022	150.7369995	
American Samoa	ASM	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																																							
Antigua and Barbuda	ATG	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																																		215.4150009	250.3139973	191.6829944	206.6600084		
Australia	AUS	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS											50.40299892	53.57599854	56.04500175	59.18899775	65.22499919	70.27800083	76.10899806	77.50999928	80.77899814	83.66500139	85.69899797	85.17900109	86.826998	89.10999894	90.35099745	94.50100064	98.6100018	104.0629983	108.0530047	112.469995	115.3910041	118.1900024	118.8509941	98.95200133	101.0810018	104.4569969	106.2450051	107.1699977	122.2569942	122.4220037	123.1430054	122.6600051	121.7370033	122.5409985	122.9040027	124.6019959	127.2459984	129.1429996	131.3699961	134.6099973	136.5470052	137.598002	138.0609989		
Austria	AUT	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												43.0640012	48.28200042	52.75099874	54.80899811	58.89300108	61.87000275	63.98000121	67.51499772	69.77699995	71.88299894	73.48099947	76.08199716	79.48600054	81.15800023	83.5529983	85.75900197	86.33900285	87.64799833	87.5	88.22600245	87.10899949	88.38499784	89.28599954	90.65799713	93.13499928	95.58699727	97.54499793	99.79500175	103.6260009	107.6500058	111.5550041	115.139997	116.1900043	117.5480008	119.0889955	120.2250004	119.927001	118.156004	117.8820014	117.1620011	118.4190035	119.5559978		
Azerbaijan	AZE	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																						76.01299882					90.27699828					67.03500152	65.29499888	71.74500227	79.97000217	90.27100205	97.6369977	97.45200276									104.7060013	101.9539952	98.14299941	98.68100286	98.93699884	101.6289949	104.7140002		
Burundi	BDI	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												5.578999966	7.275000215	11.47200018	22.05300033	11.89299971	11.98699996			19.22100037	23.45100045	30.98599911	30.97299933		34.90299881	33.73999894	30.58899939	35.52899957	32.0780009	35.25100052	41.08699858	35.56399941	35.09800136	34.98600125					39.54200149	40.6370014	35.58700085	36.46000028	42.9309994		37.74800003	37.57300079	42.99399853				51.39700174				
Belgium	BEL	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												59.18499827	60.7640028	66.27299786	69.54200268	72.52500057			76.3019979	74.84599948	77.64899731	82.80299902	82.95699954	86.04400158	87.88200021	86.14299893	87.61799932	92.29199886	93.72400045	90.87700248	96.43700123	97.39099741		99.71899986	101.3440013	101.473999	103.354001			114.3650055	112.3370051	115.1010036	116.2999988	117.4239993	119.5379972	122.4979997	124.1410017	125.0309944	125.1099944	123.6369967	125.4590034	126.1479974	128.0869961		
Benin	BEN	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												7.145000249	15.53300023	16.39900059	20.79100013	17.87399948	17.56599993		21.45999968	21.30299956			22.62199968	19.66100037	21.98700011	21.19099945	18.26499999	18.22099984	15.73899984			14.46399987	17.89900064	19.03200001	20.39999962	20.4429999	21.82199955	22.71099985		24.01300073	24.00200069	24.04399961					31.90200031	33.7199986	36.83699965	38.72399926	35.07699966	26.96300149			
Burkina Faso	BFA	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												17.67800003	11.77299991	15.73099941	20.77099979	25.56200027	24.57000017	26.54300034	26.87900066	24.83499944	28.37100029	27.09699869	26.89700127	28.3069998	28.20299864	29.41100001	29.84299958	31.28300011	31.53499961	31.52599931	29.72199917	30.03000021	29.12499905	29.64600027	31.97599947	28.47000062	31.99900091	29.57600057		29.79199886			34.50399935	29.29500043		45.13399899	45.79600096	45.60799897	49.47499931	48.35200012	47.90300131	49.63099957	49.55799878	49.24899936	
Bangladesh	BGD	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS											11.28700003		12.70399988		12.08999977		15.2730003	16.90299958	17.1540007	17.18900055	17.21699983	17.21599996	28.97399962	24.13100004	23.45400006	25.20799935	25.26000142	23.60199988	19.87700015	20.05999982	20.01599967									49.20600057	49.37100112	53.0099988	48.74599874	48.74199927	47.676	51.98000073	55.28100133	55.13799787	55.12499809	59.71699953		69.03399825	71.88599706		
Bulgaria	BGR	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												106.2950015	117.5410032	121.2980032	127.7220011	136.1039996	139.2030001	144.2479968	174.8080015	144.4910049	140.910995	135.0250006	122.6850033	118.4129953	120.483005	121.4660048	125.1960039	129.4770002	130.9689999	122.8449941	115.3890014	110.2190018	119.1329956	139.1780019	148.732996	159.7149968	170.4229951	165.775001	163.6350036	154.3140054	141.2760019	136.1119986	124.1979957	118.7479973	117.5009966	115.8820033	122.4130034	123.645997	131.8240047	133.0890059	132.4740052	130.1800013	127.4670005		
Bahrain	BHR	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												144.7309971	153.1530023	187.0429993	144.6830034	139.0849948	155.0609946	155.5439949	104.1560054	84.31299925	100.4590034	91.88399911	105.9710026			138.827002	159.9020004	132.1470022	159.9820018			138.1829977	158.8449955	153.223002	158.0649972	161.879003	167.7279949			174.1050005				235.7830048		352.23701	367.4400091					187.7439976	198.1639981		
"Bahamas, The"	BHS	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																													223.9150047							270.6579924																			
Bosnia and Herzegovina	BIH	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																																							
Belarus	BLR	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																122.5849986					118.5600042	126.6749978	126.6139984	130.332005	132.6719999	133.5229993	136.827004	138.3739948	138.4500027	136.9539976	137.6049995	141.6049957	146.9030023	147.0919967	144.6720004	142.7350044	139.9399996	135.4419947	
Belize	BLZ	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												235.9479904	194.0969944		271.7060089	145.0160027																										161.7280006	166.6669965	157.2340012	151.078999	157.9579949	167.4880028	166.0660028	164.9729967	171.4079976	164.7169948	170.6650019	169.362998	167.6480055	
Bermuda	BMU	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																				113.9350057	91.32500291	105.9209943																									223.1260061	250.1669884	209.3569994	256.8890095	210.6760025	211.8429899	202.828002		189.1909957
Bolivia	BOL	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS																																																83.97700191							
Brazil	BRA	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS											60.78500152	67.47499704	80.89699745	84.56500173	90.46099782					95.27400136	93.95400286			100.722003					105.2369952	107.7759981	109.8340034	105.8769941	106.6599965	109.5379949	111.7540002				122.4629998	125.951004	129.6869993	129.8490047	132.2720051	132.3619962	132.0459962	129.5729995									
Barbados	BRB	Ratio of female to male tertiary enrollment (%)	SE.ENR.TERT.FM.ZS												85.45600176	87.89899945	80.79299927	79.80399728							117.4929976			90.46000242	98.63399863				143.4759974	149.8579979		125.1819968							242.7129984	284.9139929	265.7200098						234.1639996		240.1590109	237.9909992	245.0809956			
