Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS																																								19.23044014	19.05966949	18.94779015	19.06977081	18.43017006	18.45108986	18.07760048	18.16433907	17.41750908	17.29187965	17.0859108	16.82253075	15.08609009	14.78868961		
Andorra	AND	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS																15.38731956								9.726759911																			12.67901039	12.07579994	12.65281963	11.47472	10.48910046	10.2476902	10.02678967	10.33255959	9.640179634	9.845270157	9.582369804	9.330280304	
Afghanistan	AFG	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS											41.22332001	39.10538864	40.38314056	38.3216095	37.21537018	37.30693054	35.75746918													36.40557861	41.20964813			48.67153168	57.91294098				32.10314941	33.18571091							42.32601929	42.77030182	43.72982025	42.83639145	44.41709137	43.51914978	44.6774292		
Angola	AGO	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												44.38687897	42.84183884	40.89138031	32.32685089								31.45022011	36.82133102	31.77186966	29.81775093	31.27300072	33.39831924	32.57672882	33.42115021		31.87672997	27.18103027						41.75323868									41.01240158			45.5865097	42.5430603			
Albania	ALB	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS																																						22.75761032			22.56784058	21.7524395		21.49541092					19.40780067	20.17793083	19.70207977	19.86916924	19.48298073	19.12103081	
Arab World	ARB	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS											31.32389069	31.24698067	31.17847061	31.21063995	31.06226921	31.08525085	30.72744942	30.19026947	29.97064972	29.93592072	29.50392914	29.12454987	28.75321007	27.67793083	27.3786602	26.55880928	26.12129974	25.74732971	25.60619926	22.6478405	24.05861092	24.02425003	23.51976013	23.0577507	23.58020973	22.97739029	23.2532692	22.52194977	22.67489052	23.04608917	22.50733948	22.10357094	21.91980934	21.62363052	21.31553078	21.62882042	21.37989044	21.32885933	20.99448967	21.13338089	21.18079948	19.73603058	18.98531914		
United Arab Emirates	ARE	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												27.30644989	23.6899395	19.63619041	17.17655945	14.75210953	16.36070061	15.67131042	16.04641914	16.23311996	16.25984955	16.33794022	21.48345947	21.77902031	24.01022911	24.19610023	24.84485054	24.3578701	24.96813965	18.34668922	18.08003044	18.28038025	17.63253975	17.10680962	17.02466965	16.99967957	16.53583908	16.07065964	15.85781956	16.01551056	16.14707947	15.94764996	15.27715969	15.21595001	15.0021801	15.23077011	15.47686958	17.19021988		15.60015965	16.83357048	17.03396988	18.1835804	16.06863976	
Argentina	ARG	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS											19.24521065	19.00164986	18.77662086	18.96393013	19.10150909	18.22059059	18.0705204	18.45776939		18.51625061	20.23057938	20.23262024	20.32280922		20.27508926	19.97818947	20.00797081	19.45186043	19.25795937						17.53273964		16.73336983	16.66847038	19.92696953	21.05864906	19.34256935	17.32710075	16.85345078		17.14295959	16.65033913	16.33888054	15.52987003	16.33135033						
Armenia	ARM	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS																																17.6707592			20.61326027		19.0060997	15.96615028	15.99950027	16.07076073		20.34410095	20.34332085	18.83720016	20.26240921	21.19732094	21.24160957	19.30760002							
American Samoa	ASM	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												23.14286041	21.55455017	21.58840942			23.25165939	21.86451912					17.07341957		20.88727951	21.30919075	16.96916008	16.87257004	15.98806953	17.71429062	18.59869957	17.26316071	15.04580021																						
Antigua and Barbuda	ATG	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS													25.11017036		25.49090958	23.78042984	21.64122009	26.04295921	24.53865051	24.50513077																					18.74101067							21.50371933	17.12888908	16.2244606	15.0656004	14.51202965	13.84502983		
Australia	AUS	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												25.11652946	24.20741081	23.59209061	21.64595985	20.82811928	20.04911041	19.46907043	19.33709908	18.87360001		18.72319031			15.6072998		16.76362991	16.59771919	16.63184929	16.75532913		16.59161949	16.56896019	16.58238983		18.14896965	18.0720005	17.88298988	17.8757	17.87578011															
Austria	AUT	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												21.43598938	21.53882027	21.26926041	20.63154984	20.27133942	19.02794075		16.3882103	17.08713913	15.96325016	14.54666996	13.96850967	13.2592001	12.6862402	12.16606998	10.48048973	10.3629303	10.52307034	10.73233032	10.85945034	10.81472969	10.84969044	11.42039013	11.90392971	11.68605995	12.4537096	12.22126961	12.14873028	13.45715046			13.26801014	13.18159962	13.13389015	12.40884018	12.23291969	11.86203003	11.62932014	11.36314011	11.02830982	10.89398003	10.82489014		
Azerbaijan	AZE	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS																																19.78412056	19.81668091	19.57589912	18.85770035	18.98288918	20.16770935	20.00307083	19.28070068	18.77910995	18.68573952	17.12014961	16.18519974	15.26138973	14.27143955	13.4483099	12.49600029	11.6155901	11.29601002	11.0834198	11.04222012	11.16444969	11.92302036		
Burundi	BDI	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												36.68173981	36.00120163	34.64138031	31.5077095	31.14162064	30.86377907	30.93946075	32.43648911	32.7968483	34.55094147	36.59854126	39.30083847	47.07764053	52.30521011	54.25925064	56.20972824	62.35171127	70.73731995	68.90550995	65.87335968	66.89942169	65.85671234	62.60441971			45.01689148		47.85557175	55.4127388	55.35974884	50.19718933	49.07638931	49.90568924	51.24546051	48.70397949	54.18521881	51.99832916		51.36120987	50.60210037	48.31143188	47.10467911	44.83364105	
Belgium	BEL	"Pupil-teacher ratio, primary"	SE.PRM.ENRL.TC.ZS												19.76148987			19.25363922		19.37154007	19.22805023	19.41801071	19.00156021	19.49122047	18.13735008	18.19319916		18.55194092	16.82337952	16.52609062							12.35321999	12.1304903						11.98281002	12.13166046	11.94293022	11.87882996	11.57306957	11.49040031	11.28316975	11.20271015	11.1789999	11.14093971	11.03429031	11.18924046	11.2028904		
