Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								100	100	100	100	100	100	100	99.47551727	100	99.48187256	99.82817841	100	99.83444214	99.5008316		
Andorra	AND	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																															100	100	100	100	100	100	100	100	
Afghanistan	AFG	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Angola	AGO	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																				47.48641968			
Albania	ALB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																						31.77273941	
Arab World	ARB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
United Arab Emirates	ARE	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																													60.8508606	59.96522903							100	100	
Argentina	ARG	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Armenia	ARM	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								89.32563019					66.6566391	77.45596313									
American Samoa	ASM	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Antigua and Barbuda	ATG	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									46.90647125							67.28624725	52.88888931	57.12229919	54.75233841	64.83956909	60.1324501		
Australia	AUS	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Austria	AUT	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Azerbaijan	AZE	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								99.97554779	99.93328094	99.9432373	100	99.62545776	99.8189621	99.97633362	99.98140717	99.99772644	99.94087219	99.91635132	99.97936249	99.98844147	99.99272156		
Burundi	BDI	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																														87.50997925		87.41586304		91.1890564		94.1818924	94.98715973		
Belgium	BEL	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Benin	BEN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								57.69818878	64.99717712			77.99960327	72.17684174					40.39822006	42.63103104	46.8895607			
Burkina Faso	BFA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																										80.41773987		86.84697723	89.49234772	88.25821686	86.9417572	87.66789246	87.66039276	86.11446381			94.83248138	85.58638763	
Bangladesh	BGD	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																														53.40219879	51.43223953	55.99900055	54.36333084	58.40753174		57.73414993			
Bulgaria	BGR	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Bahrain	BHR	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																				80.33598328	82.06233978		
"Bahamas, The"	BHS	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								58.4372406			95.12075043				88.82227325	94.4628067	91.08444214	84.42041779	91.54871368				
Bosnia and Herzegovina	BIH	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Belarus	BLR	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																											97.90377808	97.74236298	98.52777863	99.79721832	99.62960815	99.81006622	99.77155304	99.86620331	99.76158142	99.87734985	99.64398956	99.62850952	
Belize	BLZ	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									54.08641052	40.89762878		40.9850502	51.44617844		39.37638855	45.4585495	42.75772095	42.53762817	45.20489883	47.51150131	54.34432983	48.77629852	
Bermuda	BMU	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																										100	100	100	100	100	100					100	100		
Bolivia	BOL	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									90.59555054														
Brazil	BRA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Barbados	BRB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																														73.24710846		70.37991333	60.9540596	58.05849075	58.49597931	55.40697861			
Brunei Darussalam	BRN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																														84.45471191	84.60494232	82.82800293	84.28372955	84.14013672	87.08931732	88.26728821	88.03862762	85.19055176	
Bhutan	BTN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																							93.70594025	100	94.8259201	91.58460236				93.81829834	92.0068512		91.4671936						
Botswana	BWA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																							91.83113098	90.24268341	89.1553421	89.48262024	89.0750885	89.72235107	92.47463989	92.58770752	94.28988647	97.39009857	98.85012817	99.61579895					
Central African Republic	CAF	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																				57.48683167	57.91701889		
Canada	CAN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Central Europe and the Baltics	CEB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Switzerland	CHE	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Channel Islands	CHI	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Chile	CHL	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
China	CHN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Cote d'Ivoire	CIV	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									99.43988037	99.05682373		100				100	100	100		100	99.38442993	82.80793762	
Cameroon	CMR	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																												68.05799103	68.53399658	62.74084854	61.77009964				57.39352036	67.14954376	78.7775116		
"Congo, Rep."	COG	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									64.55294037			57.1117897	62.17058945		88.99645233				86.77771759	79.32375336	80.31706238		
Colombia	COL	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																100	100	100	100	100	100	97.28514099	
Comoros	COM	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																	57.42198181			55.15353012		75.05783844	
Cabo Verde	CPV	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																											67.15795898	69.37996674	72.70432281	77.80564117	81.46417236	82.93374634	84.70626068	86.45832825	90.02990723	92.09287262	94.58728027	95.5329895	
Costa Rica	CRI	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								87.17562103		89.54434967	88.20726776		97.4254303	96.78727722	88.04312897	89.46508026	86.04625702	87.60038757	89.48325348	91.44802094		97.13952637	
Caribbean small states	CSS	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									72.37380981	73.0115509	74.25720978	74.98239899	75.89684296	76.00505066	76.89588928	76.5669632	76.07380676	75.62953186	76.20967102	77.74050903			
Cuba	CUB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Curacao	CUW	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Cayman Islands	CYM	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								98.08612061	97.89029694	99.14530182	99.16667175		99.60159302	98.81423187	97.20279694	95.82089996	95.7928772			94.84848022	97.02970123		
Cyprus	CYP	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Czech Republic	CZE	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Germany	DEU	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Djibouti	DJI	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																															79.09886932		80.32588959	100		100		96.00431824	
Dominica	DMA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								63.98025894	64.61794281	61.10211182	60.10187149	60.36363983	63.58382034	59.92293167	64.21662903	61.12223816	59.40000153	57.84313965	60.82677078	57.72993851	60.65890884	65.21739197	
Denmark	DNK	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Dominican Republic	DOM	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								73.90953827			79.31468201			88.2693634	88.3256073	88.27012634		83.61071014	84.8571167	84.84960175	85.05393982		
Algeria	DZA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								93.72814178	94.63773346	95.67701721	97.12654114	97.91976166	98.34559631	98.52628326	99.26721954	98.85814667							
East Asia & Pacific (developing only)	EAP	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
East Asia & Pacific (all income levels)	EAS	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Europe & Central Asia (developing only)	ECA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Europe & Central Asia (all income levels)	ECS	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Ecuador	ECU	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									86.97364044	86.92749023	68.59825897	69.91018677	70.8912735	71.05345154	71.0565033	71.64530945		82.57428741	83.79379272	83.57195282	83.8314209	84.68084717	
"Egypt, Arab Rep."	EGY	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Euro area	EMU	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Eritrea	ERI	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								72.77617645	71.96981812	70.47090912	72.61936951	80.52268982	83.09472656	83.60614014	87.52432251	87.10514832	90.19286346	92.24558258	93.81552887	90.97870636	89.55425262		
Spain	ESP	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Estonia	EST	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Ethiopia	ETH	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																	89.7170105	84.60987091	39.36257172	47.97409058	56.84881973		
European Union	EUU	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Fragile and conflict affected situations	FCS	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Finland	FIN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Fiji	FJI	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																	97.7913208			100	100		
France	FRA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Faeroe Islands	FRO	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
"Micronesia, Fed. Sts."	FSM	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Gabon	GAB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																										95.25837708		100											
United Kingdom	GBR	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																																							
Georgia	GEO	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									94.69911194	94.68193054		97.35758209					94.98885345	94.58984375					
Ghana	GHA	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																								71.79637146	69.09326172	68.6124115	64.94438171	62.88047028	60.71372986	57.87540054	56.3039093	53.01119995	49.07107925	47.56668854		50.60028076	52.26588058	53.30442047	52.39775848
Guinea	GIN	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																														68.0819397	67.69508362		82.14527893			80.3763504	74.5147171		
"Gambia, The"	GMB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									74.7427063											89.74317169		81.91699982	
Guinea-Bissau	GNB	Trained teachers in primary education (% of total teachers)	SE.PRM.TCAQ.ZS																																									35.12482071										38.93130112				
