"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","83","134","233","324","317","151","99","77","55","96","","","","","",
"Andorra","AND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","885810","","","","","","","","","","","","","","","","","","","1079362","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","235356","266826","","","","","","","","","","","","","","","404407","","","","","","","","","","309883","322515","376262","455536","","","",
"Albania","ALB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11020","9701","9024","","13074","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","6391451","6396066","6420527","6513925","6441236","6371989","6377301","6386550","6231143","6136969","6167707","6183021","6187847","6147021","","","","","","5858227","5884382","6714987","6684122","6064981","6478914","5753941","5670135","5462021","5148999","4942240","4640022","4431008","4239196","4145874","4278673","4107671","4097091","3886157","3760953","3494723","3617202","3365552","","",
"United Arab Emirates","ARE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","6031","","9125","12181","10716","14779","16215","17885","18883","12358","10994","7385","3562","","7374","9490","11100","9912","11876","15943","14822","20299","","","","14712","11500","8644","7870","4592","","12639","10774","10340","4362","","",
"Argentina","ARG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","67485","","","","50229","54641","","","","","","","","","","","","","","","","84222","","","","","","","","18780","","","","19867","","","","","","","","","","","",
"Armenia","ARM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8911","9092","","5223","3183","1177","","","","","","","",
"American Samoa","ASM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","472","392","494","754","773","860","","",
"Australia","AUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","27277","","35577","40277","22608","16717","","","","","5097","12809","21138","33051","29740","23288","18349","13121","12454","16327","20724","22327","25516","27915","46123","43890","48732","48793","51584","51449","52594","48128","49108","47842","46429","45446","31762","29529","27806","27709","29573","26629","","",
"Austria","AUT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10186","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21053","18931","21784","50909","26974","8630","38204","43486","27548","42620","51837","53444","62179","52689","53963","53323","43150","40596","36907","38153","33050","27912","","",
"Burundi","BDI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","250469","","","","","261074","","261552","258810","256545","245822","239154","233960","233800","226337","224966","","","","","284423","","","","","","","390686","348126","356311","335163","318003","298878","184989","139337","70296","76048","41263","","","77718","",
"Belgium","BEL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","10418","","2149","172","4789","6301","17296","20002","21964","17962","13283","9438","","","10957","16601","10947","13323","13325","11465","","","3430","2536","3006","2761","5834","10547","10978","9235","4111","2600","2757","2724","2894","3469","","",
"Benin","BEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","231992","237119","247549","","264586","271605","305551","","300351","296277","295829","293472","289462","280762","","","","","","","","","167934","","142178","99733","","92509","","","",
"Burkina Faso","BFA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","393491","399425","","","","","442516","452711","462512","469950","475805","481336","488702","499720","507583","513775","524552","540387","556507","","579038","592707","603562","613007","618483","","","633771","644255","649035","654130","677057","673310","661244","636280","611606","568260","509440","482807","540522","484541","474376","466979","",
"Bangladesh","BGD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3107908","","","2518125","","","2479875","2505713","2616383","","","2721191","","3176464","3061279","3255251","3384941","3533791","2657398","2694146","2446500","","","","","","","","","","","","","","","144088","29546","","377181","41604","125134","","","","",
"Bulgaria","BGR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14500","11382","7368","5332","5362","4313","4759","4347","4721","8739","10462","5543","2483","334","323","2085","4297","","",
"Bahrain","BHR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","5991","5338","5051","5136","4649","5244","5469","5764","5385","4773","4788","5232","4483","3447","2093","1012","1002","556","341","","","636","360","268","","","","","560","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1938","1789","","","","","","1607","","","","","798","23","241","","50","159","","","","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51223","","","","","","","","","","","","","","13992","14588","15361","9758","10616","",
"Belize","BLZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","180","286","","33","122","22","45","21","25","20","49","66","42","61","",
"Bermuda","BMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","591","644","","","","","182","139","","","","","","","","","","","","","","","","","","","","","","","","","223","277","438","","",
"Bolivia","BOL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34339","36725","41485","48317","44903","43355","","","36449","43920","64934","53809","74539","93826","119837","137241","",
"Brazil","BRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521415","214482","","","","","","","","","",
