"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","63","158","175","222","163","35","24","20","24","254","","","","","",
"Andorra","AND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","569151","","","","","","","","","","","","","","","","","","","784345","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","213955","238035","","","","","","","","","","","","","","","333040","","","","","","","","","","145896","136653","119896","57382","","","",
"Albania","ALB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8835","8021","8367","","9158","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","4009740","3956321","3939893","3926959","3903356","3778275","3778842","3796797","3738288","3679615","3712888","3742869","3766988","3683574","","","","","","3758939","3888335","4194745","4240104","4145505","4109461","3997663","3865811","3821647","3668238","3533478","3299352","3147398","3066152","3039800","3051688","3019228","3056174","2914651","2788355","2613242","2627566","2599910","","",
"United Arab Emirates","ARE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","6829","","11053","14050","12561","15909","17005","18695","20268","11266","8250","3948","386","","3090","9153","11865","10294","13265","16915","16512","22065","","","","11265","5868","3521","8008","1230","","1234","925","1332","1452","","",
"Argentina","ARG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","100912","","","","64860","69604","","","","","","","","","","","","","","","","97355","","","","","","","","4666","","","","3200","","","","","","","","","","","",
"Armenia","ARM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11710","12786","","11287","9293","7137","","","","","","","",
"American Samoa","ASM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","435","394","345","392","570","712","","",
"Australia","AUS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","30515","","44697","50370","27240","18607","","","","","3719","12734","18658","32519","32697","27695","24020","19570","19036","21696","26525","28572","31805","34391","53447","50283","54336","56049","59626","59576","61597","56209","57624","56407","55013","54105","39530","39118","37128","37784","38844","34432","","",
"Austria","AUT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12719","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16771","18118","36739","46223","61269","41269","36179","41339","29349","42084","50174","49185","47847","45399","41465","39283","46271","43949","37768","40292","31263","25886","","",
"Burundi","BDI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","218973","","","","","236537","","235222","229279","217697","199547","189445","182974","185357","179354","185447","","","","","245448","","","","","","","339162","282856","285676","267747","269615","253088","157276","114875","50507","70789","39887","","","326","",
"Belgium","BEL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","10307","","4204","2320","8412","7915","22797","26130","28291","23059","19019","15294","","","18291","23674","11294","13689","13430","11691","","","3618","3438","3574","3626","6384","12550","12924","10574","5912","4261","3890","3863","3936","3958","","",
"Benin","BEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","107679","108288","121753","","133215","136103","193191","","149047","134195","139296","133756","128695","118448","","","","","","","","","42581","","37909","355","","1089","","","",
"Burkina Faso","BFA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","382861","388491","","","","","423481","431614","439920","445979","447713","446745","451475","455467","455148","455326","456676","470185","486204","","510139","520708","527432","530511","527775","","","533436","544452","548265","553627","584814","578164","567957","541117","517080","471352","418420","401880","492409","443212","442668","445447","",
"Bangladesh","BGD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","1661498","","","514149","","","5898","638518","724021","","","1315718","","1344689","1760005","1927481","2072171","2202435","1747909","1807417","1698545","","","","","","","","","","","","","","","636351","604683","","631391","752825","496029","","","","",
"Bulgaria","BGR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10010","8572","1799","2280","2530","1591","3553","3710","4375","9022","10815","5993","3617","1993","1185","2872","4806","","",
