"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","98.8669281005859","100","100","","","","","97.2705535888672","","","","","","",
"Andorra","AND","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","64.7753829956055","","","86.7613067626953","75.5093994140625","","79.2936935424805","84.2321395874023","84.4574508666992","","87.9874572753906","84.6677169799805","","","","","","","","65.1652069091797","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3557510375977","","","","","","",
"Albania","ALB","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","97.5952529907227","","","96.593132019043","","","97.791862487793","98.3614501953125","100","98.3345489501953","99.2768630981445","99.472900390625","99.4829330444336","","",
"Arab World","ARB","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","68.3169860839844","67.9222564697266","73.1437301635742","71.4775695800781","76.8280410766602","71.8026580810547","77.8033981323242","76.231086730957","77.418586730957","77.5244369506836","78.7286605834961","77.7978897094727","79.1497650146484","79.4044647216797","80.5861663818359","","","","83.3004150390625","85.2107696533203","84.747917175293","84.7562866210938","85.3587875366211","86.5087890625","88.4368133544922","89.9000930786133","90.0454940795898","90.6743850708008","91.0914764404297","91.3010482788086","91.1085205078125","90.5394058227539","90.885139465332","91.053108215332","91.1797103881836","91.4140853881836","91.3591156005859","","","","",
"United Arab Emirates","ARE","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","72.5446395874023","68.7548294067383","81.878791809082","74.1079635620117","78.8092422485352","","80.6988372802734","","89.0925827026367","87.1243896484375","86.5779724121094","90.970329284668","83.9921188354492","84.4466094970703","93.5440673828125","87.2313613891602","85.4635162353516","87.7379531860352","91.1943130493164","93.1640625","93.4110794067383","95.357307434082","","94.5254516601563","","98.9561309814453","99.8873977661133","100","99.5038223266602","97.344596862793","99.4208221435547","99.7430572509766","99.2380905151367","","","100","100","99.9823303222656","98.7034683227539","","",
"Argentina","ARG","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","33.3400611877441","33.2885704040527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9904632568359","98.3623123168945","","94.4806213378906","","","",
"Armenia","ARM","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2041625976563","97.258186340332","100","98.9747695922852","100","98.4236373901367","","","98.8491516113281","97.0447463989258","","","",
"American Samoa","ASM","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","99.3160781860352","98.8011093139648","99.8549118041992","98.8076934814453","98.9363021850586","99.3967590332031","99.8974533081055","99.7839813232422","100","100","","","",
"Azerbaijan","AZE","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.8379364013672","","52.9753189086914","81.1650619506836","98.2093200683594","99.0922775268555","96.9913101196289","97.2798690795898","97.6442413330078","99.4240036010742","98.8478469848633","98.0602493286133","99.4300231933594","99.1171569824219","98.4767913818359","98.7342910766602","98.2219772338867","99.6831130981445","","","",
