Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																								100		98.8669281	100	100					97.27055359						
Andorra	AND	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																							
Afghanistan	AFG	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS															64.775383			86.76130676	75.50939941		79.29369354	84.23213959	84.45745087		87.98745728	84.66771698								65.16520691																					
Angola	AGO	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																	53.35575104						
Albania	ALB	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																					100				97.59525299			96.59313202			97.79186249	98.3614502	100	98.33454895	99.2768631	99.47290039	99.48293304		
Arab World	ARB	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS															68.31698608	67.92225647	73.14373016	71.47756958	76.82804108	71.80265808	77.80339813	76.23108673	77.41858673	77.52443695	78.72866058	77.79788971	79.14976501	79.40446472	80.58616638				83.30041504	85.21076965	84.74791718	84.75628662	85.35878754	86.50878906	88.43681335	89.90009308	90.04549408	90.67438507	91.09147644	91.30104828	91.10852051	90.53940582	90.88513947	91.05310822	91.17971039	91.41408539	91.3591156				
United Arab Emirates	ARE	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS															72.54463959	68.75482941	81.87879181	74.10796356	78.80924225		80.69883728		89.0925827	87.12438965	86.57797241	90.97032928	83.99211884	84.4466095	93.54406738	87.23136139	85.46351624	87.73795319	91.19431305	93.1640625	93.41107941	95.35730743		94.52545166		98.95613098	99.88739777	100	99.50382233	97.34459686	99.42082214	99.74305725	99.23809052			100	100	99.98233032	98.70346832		
Argentina	ARG	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS											33.34006119	33.2885704																																					98.99046326	98.36231232		94.48062134			
Armenia	ARM	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																											98.2041626	97.25818634	100	98.97476959	100	98.42363739			98.84915161	97.0447464			
American Samoa	ASM	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																							
Antigua and Barbuda	ATG	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																							
Australia	AUS	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																							
Austria	AUT	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																							100				99.31607819	98.80110931	99.8549118	98.80769348	98.93630219	99.39675903	99.89745331	99.78398132	100	100			
Azerbaijan	AZE	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																			96.8379364		52.97531891	81.16506195	98.20932007	99.09227753	96.99131012	97.27986908	97.64424133	99.4240036	98.84784698	98.06024933	99.43002319	99.11715698	98.47679138	98.73429108	98.22197723	99.6831131			
Burundi	BDI	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS												14.87862015						8.786829948	9.327219963	10.61046982	6.187019825	6.551020145	12.13710022	5.788400173	6.807419777	8.338100433	9.036829948	12.51191998	9.831199646	11.36701012	8.101369858		12.26422024	13.77282047										63.82247925	55.49483109			63.39477158	64.38854218	63.43386841	66.65396881	66.3392868	72.56524658		
Belgium	BEL	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS															76.63105011	81.38313293	86.54915619	85.11402893																												98.78813934	98.76873779	98.51554108	97.77790833						
Benin	BEN	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS												44.00352859	42.07873154	41.61574936	43.99726868	37.23506165	41.48828125	46.45285034	50.16257858	44.24478912	45.00328827	79.12175751		50.03033829	48.50883865						61.80173111										100		78.11264801								77.49598694		87.34562683		
Burkina Faso	BFA	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS												16.94109917	18.63533974	21.60000038	26.33675003	22.41163063	24.93151093	23.84244919		24.98615074	29.75539017														39.13216019				67.86190796	60.49060822	61.58660889		60.21899033	65.99111938	65.29882813	65.24185944	66.0344162	72.82324219	71.69550323	73.35619354		71.16483307	67.28668213		
Bangladesh	BGD	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																							
Bulgaria	BGR	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																												98.47463226	98.15701294	100	97.82334137		100	100	97.40126038	98.5493927	97.4994812	94.4626236	98.37403107		98.99822998	97.94377899	97.4692688	97.94941711	98.31812286	98.21806335	97.59648895	97.21578217	97.49794006	98.39176178	98.2719574	98.80899811			
Bahrain	BHR	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																							92.52368927	88.92266083	86.45121002		94.25488281		90.3826828			100	100	100						99.67556763	100	100	100	99.88587952	99.70983887				100		99.92072296	99.78726196			
"Bahamas, The"	BHS	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																														99.16506195	98.56543732	99.56491089		98.71839142					
Bosnia and Herzegovina	BIH	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																																		82.77974701					
Belarus	BLR	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																		92.55874634	98.71630096	97.93786621	100	100	99.98796844	100	99.76422882	100	99.79071045	97.47052765	100	99.96099854	99.87062836	100			97.24497986	98.84642792	98.6423111		
Belize	BLZ	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																	86.74447632			90.33796692	88.52155304			96.462677	95.24140167		97.25106049	96.50154877	96.08309937	94.13490295	95.71803284	96.50724792	96.51908112	97.55081177	98.11878967	97.76473999	95.30847168		
Bermuda	BMU	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																																											97.43589783								94.94949341	100			
Bolivia	BOL	"Progression to secondary school, female (%)"	SE.SEC.PROG.FE.ZS																															81.86979675	84.77558899	81.75354004	82.41677094	82.67632294	82.32852173	82.6260376	82.59887695	93.02792358	93.09388733	92.61721039	93.76418304	92.47315216				91.84851837	94.88269806	93.54844666	93.83677673	94.14523315	95.24446869	96.1473999		
