"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3930206298828","","100","99.6348571777344","99.0700302124023","","","","","100","","","","","","",
"Andorra","AND","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","65.6900100708008","","","82.3287582397461","79.8990097045898","","84.8347015380859","76.1622314453125","91.3047790527344","","88.7775115966797","88.3398971557617","","","","","","","","60.5754089355469","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7739295959473","","","","","","",
"Albania","ALB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6098937988281","","","","96.9094772338867","","","97.4830169677734","","","98.9542007446289","98.0773315429688","98.5032730102539","97.8637008666992","99.1034469604492","99.5048294067383","100","","",
"Arab World","ARB","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","68.4902648925781","68.0801086425781","68.1744537353516","74.788818359375","71.5721282958984","75.0525512695313","70.9144592285156","79.5531539916992","77.8317794799805","78.6755294799805","77.6818466186523","80.0554962158203","80.4424057006836","82.748893737793","82.2647552490234","84.2883529663086","","","","","87.7475891113281","87.1549072265625","87.0179748535156","87.3155822753906","87.6032104492188","88.848258972168","90.3295745849609","89.9637069702148","91.7416381835938","92.1398468017578","92.0166854858398","92.0364990234375","91.5502090454102","91.9301528930664","92.3386611938477","92.5371170043945","92.9099807739258","92.9637756347656","","","","",
"United Arab Emirates","ARE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","67.6944580078125","77.2168273925781","68.5688781738281","78.6549682617188","75.5756072998047","","83.4878005981445","","88.8071594238281","90.5757598876953","92.1991806030273","87.9673461914063","87.939338684082","88.9659729003906","93.4705505371094","85.7303619384766","84.7123794555664","87.439323425293","88.2994232177734","91.8193969726563","91.5001983642578","91.0609817504883","","95.4148864746094","","98.4664764404297","100","98.0454330444336","96.1412506103516","99.5471420288086","99.0464324951172","100","100","","","95.520378112793","91.7747497558594","98.8908996582031","98.1021575927734","","",
"Argentina","ARG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","24.3754901885986","24.5892295837402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","","87.5968017578125","","","",
"Armenia","ARM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.212646484375","98.8174591064453","99.4997711181641","100","98.6837921142578","100","","","99.3260879516602","96.7185592651367","","","",
"American Samoa","ASM","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.2879409790039","","","","100","100","100","100","100","100","100","100","99.8968276977539","99.6988983154297","","","",
"Azerbaijan","AZE","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3523712158203","","52.1671600341797","77.1628570556641","97.6432876586914","96.8927993774414","99.4302673339844","99.1915893554688","98.5288391113281","99.0692901611328","99.654541015625","100","98.7732086181641","100","99.8175888061523","98.3953018188477","99.1575317382813","98.4870910644531","","","",
"Burundi","BDI","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","22.5922794342041","","","","","","10.0232801437378","14.8789396286011","16.3707809448242","14.7596302032471","15.0644502639771","13.9256200790405","10.7033596038818","10.2048101425171","11.4460201263428","12.0006399154663","12.6919498443604","10.3756799697876","15.1499795913696","9.80758953094482","","14.5909595489502","15.409049987793","","","","","","","","","","58.7108993530273","60.1161193847656","","","68.3192977905273","61.2740097045898","75.6815490722656","75.2357635498047","72.300651550293","78.7796630859375","","",
"Belgium","BEL","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS","","","","","","","","","","","","","","","86.9103088378906","89.9685363769531","96.2236633300781","94.1758728027344","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","","","","","","",
