Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																								99.39302063		100	99.63485718	99.07003021					100						
Andorra	AND	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																							
Afghanistan	AFG	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS															65.69001007			82.32875824	79.8990097		84.83470154	76.16223145	91.30477905		88.7775116	88.33989716								60.57540894																					
Angola	AGO	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																	30.7739296						
Albania	ALB	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																					98.6098938				96.90947723			97.48301697			98.95420074	98.07733154	98.50327301	97.86370087	99.10344696	99.50482941	100		
Arab World	ARB	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS														68.49026489	68.08010864	68.17445374	74.78881836	71.5721283	75.05255127	70.91445923	79.55315399	77.83177948	78.67552948	77.68184662	80.05549622	80.4424057	82.74889374	82.26475525	84.28835297					87.74758911	87.15490723	87.01797485	87.31558228	87.60321045	88.84825897	90.32957458	89.96370697	91.74163818	92.1398468	92.01668549	92.03649902	91.55020905	91.93015289	92.33866119	92.537117	92.90998077	92.96377563				
United Arab Emirates	ARE	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS															67.69445801	77.21682739	68.56887817	78.65496826	75.5756073		83.4878006		88.80715942	90.57575989	92.1991806	87.96734619	87.93933868	88.9659729	93.47055054	85.73036194	84.71237946	87.43932343	88.29942322	91.81939697	91.50019836	91.06098175		95.41488647		98.46647644	100	98.04543304	96.14125061	99.54714203	99.0464325	100	100			95.52037811	91.77474976	98.89089966	98.10215759		
Argentina	ARG	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS											24.37549019	24.58922958																																					100	100		87.59680176			
Armenia	ARM	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																											98.21264648	98.81745911	99.49977112	100	98.68379211	100			99.32608795	96.71855927			
American Samoa	ASM	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																							
Antigua and Barbuda	ATG	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																							
Australia	AUS	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																							
Austria	AUT	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																							89.28794098				100	100	100	100	100	100	100	100	99.8968277	99.69889832			
Azerbaijan	AZE	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																			99.35237122		52.16716003	77.16285706	97.64328766	96.89279938	99.43026733	99.19158936	98.52883911	99.06929016	99.65454102	100	98.77320862	100	99.81758881	98.39530182	99.15753174	98.48709106			
Burundi	BDI	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS												22.59227943						10.02328014	14.87893963	16.37078094	14.7596302	15.06445026	13.92562008	10.7033596	10.20481014	11.44602013	12.00063992	12.69194984	10.37567997	15.14997959	9.807589531		14.59095955	15.40904999										58.71089935	60.11611938			68.31929779	61.2740097	75.68154907	75.23576355	72.30065155	78.77966309		
Belgium	BEL	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS															86.91030884	89.96853638	96.22366333	94.1758728																												100	100	100	100						
Benin	BEN	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS												34.07889938	35.12163162	58.68006134	50.43144989	46.47478867	40.65507126	45.44540024	53.64609146	52.47480011	60.0439415	90.98310089		41.87189865	47.70867157						55.89582062										98.4368515		78.05185699								78.99476624		89.7734375		
Burkina Faso	BFA	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS												19.42501068	21.3698597	24.60676003	28.31599045	25.70027924	24.64304924	26.1642704		26.38607979	28.06965065														40.47529984				62.93555832	60.56777954	62.19792938		61.92541885	67.78363037	67.94847107	65.53327942	67.58142853	74.22283936	74.2842865	76.08281708		72.85260773	69.01551056		
Bangladesh	BGD	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																							
Bulgaria	BGR	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																												96.4070816	99.21707153	99.57129669	97.05467224		99.07553101	99.86524963	98.02384949	100	99.78249359	95.41694641	98.72592163		99.65849304	98.59812927	98.93118286	98.61659241	98.35312653	98.43347168	97.83750153	97.40366364	98.30460358	99.19523621	99.04595947	99.28449249			
Bahrain	BHR	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																							88.27326965	90.7723465	90.81311798		99.67497253		84.52352142			93.55213928	96.46888733	95.56189728						100	98.57050323	98.41400909	98.75906372	98.57470703	98.34635925				99.70500946		100	99.79347229			
"Bahamas, The"	BHS	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																														98.68209839	100	100		99.33287048					
Bosnia and Herzegovina	BIH	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																																		84.52932739					
Belarus	BLR	"Progression to secondary school, male (%)"	SE.SEC.PROG.MA.ZS																																		93.42604065	97.45146179	100	98.42855072	98.07512665	97.53752136	99.71154022	100	99.12654114	100	100	99.18663788	99.39025879	100	97.49491882			99.6075592	98.16132355	97.60368347		
