"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1364.67336376245","1477.9118247135","1475.56498960392","1882.97326588402","1422.92668527625","1318.12783799661","1264.34238391757","1438.78733723265","1809.52405449676","2092.63171157732","2259.83660841737","2569.39274692195","3019.28018473289","3114.59288724123","2870.09534650237","3185.53381652331","3386.77229177277","3413.94055459285","2947.96416339688","",
"Afghanistan","AFG","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8037042385703","19.8569435648615","21.5111688457949","23.3143090055272","25.1621106669637","33.1656925877549","38.2806108062776","38.4953749586026","47.8769300323959","53.5855595326713","57.7071371851504","48.6739380839498","",
"Angola","AGO","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3217559649813","18.0582696787386","27.3797301146141","23.0817543354209","18.7169620025174","22.2303335427969","36.1606806367409","33.4846072037045","44.6218777973059","63.3866740887906","70.9581541720701","110.864133625141","115.456061901179","176.72336726884","174.329248051782","143.782460517375","177.600226926805","190.462368289607","267.224298769285","",
"Albania","ALB","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0030379160122","67.027456268115","49.145860205152","57.1523915615943","71.3040514266509","69.8443927588932","74.8105175343066","88.3682377559873","109.246005741487","147.695428126117","159.687984576262","169.148663670833","207.540291678055","239.856295346053","221.006180390444","200.44179240946","234.056855314625","220.428728961549","239.577092421639","",
"Arab World","ARB","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4058210396015","85.7746593109094","90.8857003559769","92.2151457486112","100.022524598006","106.784906435359","109.919059186012","110.624203011654","115.321043318497","127.229109879973","139.938441642601","160.896017979124","187.156297135086","220.767195569681","241.345416018901","247.146198587155","282.001503245852","321.731256706645","315.618635362874","",
"United Arab Emirates","ARE","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","738.645729574378","732.203066621233","751.518638718372","721.109438979891","722.890642584054","753.449489177422","819.431589585245","925.675182835286","976.688742190161","994.810266032213","1010.08375400357","1060.19819404975","1104.81189377088","1238.06097942668","1204.5884671983","1154.37234846334","1224.68969509855","1235.31061476624","1568.9634407028","",
"Argentina","ARG","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615.80280583861","619.536357787186","686.43080923628","707.040449053083","726.758588569446","709.862355045571","676.228652979819","225.464547353975","280.420358644805","327.299675721984","394.837640579376","453.704405930197","547.992303318498","685.828727897528","725.740164134415","754.179565475369","869.877585811833","994.29325558002","1074.0669438822","",
"Armenia","ARM","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6224944279892","29.140835565158","30.1218108607024","34.988121906273","33.8921178603408","38.8292730720907","41.1276140932757","41.9943180263712","51.5155732965569","65.4978197616442","86.1007903422824","98.1996350289347","133.981300629587","149.25966434558","132.425857568548","143.064423548942","127.171495421254","150.395557375808","158.621556935177","",
"American Samoa","ASM","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
