Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																																							
Andorra	AND	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				2.148122984	2.207433881	2.145378215	2.176604496	1.967559887	2.109731753	1.796514761	1.864842777	1.815003391	1.762356916	1.774966893	1.773264262	1.843352315	1.836957793	1.817946747	1.858028319	1.98424972	1.944958372	1.992321221	
Afghanistan	AFG	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																											7.637633645	8.692297239	8.27828381	7.951148045	7.520420871	7.501179429	7.776754716	6.694831159	6.691760591	6.535507524	6.715105461	6.382750383	
Angola	AGO	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				1.421088714	1.651670808	2.399596365	3.290925977	1.97820379	1.713400624	3.008744176	2.520618026	2.815583117	2.670115775	2.079078848	1.520001691	1.169347358	1.128598782	1.706676754	1.347002873	1.28728126	1.314500467	1.266603732	
Albania	ALB	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				7.84370817	5.685776805	5.543590523	4.848171455	4.358018473	3.997566439	3.707919874	4.225370354	4.014903081	3.70216211	3.409526633	3.285238296	3.47608955	3.175517212	2.957762547	2.858465808	2.865493406	2.853466721	3.036801469	
Arab World	ARB	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				1.77196272	1.761072801	1.827313777	1.969564556	1.916927574	1.745069112	1.807109015	1.887800704	1.761824366	1.640026465	1.463811326	1.415620818	1.491690645	1.431494515	1.775659412	1.686074392	1.553265229	1.582529456	1.619450941	
United Arab Emirates	ARE	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				0.554393561	0.510219266	0.538668041	0.567131197	0.559463304	0.508353138	0.539782611	1.003601537	0.974868021	1.006118137	0.951320923	0.94471453	1.01844239	1.018961974	1.082281095	1.035575832	0.950688409	0.915028547	0.950688409	
Argentina	ARG	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				2.760988518	2.801276108	3.143837448	3.229193188	3.469518056	3.505939518	3.557949674	3.187319417	3.273214612	3.318164173	3.181385531	3.0270016	2.711509208	2.542621038	2.59397261	2.380485426	2.133016848	2.075373286	2.345120986	
Armenia	ARM	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				4.422463495	4.169609129	4.360092879	4.111258716	4.069375685	5.115951483	4.348941859	4.039086744	4.047310409	4.096730988	3.347063041	2.524868665	2.209545824	2.034552669	2.535317227	2.639546668	1.774639315	2.606476706	2.633688019	
American Samoa	ASM	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																																							
Antigua and Barbuda	ATG	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				1.683047232	1.705715726	1.616035996	1.500145305	1.24085664	1.367906486	1.570400367	1.488422358	1.596696735	1.580862794	1.503801657	1.390163701	1.386416887	1.390079308	1.557111007	1.743600939	1.758659218	1.737468983	1.729117736	
Australia	AUS	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				2.483451159	2.58559679	2.48152092	2.576891068	2.461520333	2.677543918	2.756341173	2.775151059	2.817769514	2.855316727	2.798473628	2.835914225	2.77040773	2.802918894	2.838230571	2.873042375	2.871807973	2.944403718	3.020443561	
Austria	AUT	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				2.538719351	2.556149306	2.436858308	2.466032342	2.467157934	2.44227098	2.516800251	2.554189819	2.628407187	2.639204138	2.571841478	2.487282552	2.482087296	2.484266912	2.656666606	2.729570906	2.550421535	2.674625892	2.676237933	
Azerbaijan	AZE	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				4.400123431	4.638366888	4.223350258	4.53085301	4.371714006	3.803920259	3.635939837	3.675287694	5.733610069	6.895873914	6.982460912	5.303883227	4.114999049	3.549390984	4.511270761	4.165579374	3.928337356	4.156301028	4.420103303	
Burundi	BDI	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				3.698814476	3.668061743	3.643252214	3.974782338	3.852116715	4.369037984	4.377047251	4.703623417	5.117642593	6.10694869	6.900851446	7.961303187	6.246331231	4.504151861	3.871147091	3.321011896	3.177516272	3.275662026	3.632025119	
Belgium	BEL	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				1.766004415	1.726239406	1.912024308	1.987060194	2.053358004	2.062223067	2.039237422	2.217258581	2.597801873	2.521601769	2.50912485	2.593920534	2.650179472	2.523154998	2.586826972	2.63814987	2.581286376	2.701079813	2.707019328	
Benin	BEN	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				2.580952438	2.554945845	2.497375242	2.445913915	2.476933064	2.421203926	2.378463978	2.385761446	2.419394884	2.386621899	2.381368577	2.364715149	2.24103186	2.057912937	2.082491318	2.123358017	2.140869019	2.113452869	2.088634852	
Burkina Faso	BFA	"Health expenditure, private (% of GDP)"	SH.XPD.PRIV.ZS																																				2.635970667	2.784893466	2.672605542	2.813910879	3.096818332	3.097322446	3.093662843	2.81095685	2.959508672	2.831562547	2.781379949	3.177847246	3.039827289	2.777870351	3.756452731	3.194316904	2.814325664	2.549026995	2.575289236	
