"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.89347290924727","4.14077055560237","4.20081796912002","5.60906090663232","3.84535770346216","3.88747526152106","3.9523324749985","4.11362377345451","3.96434951233725","3.95455698215721","3.97666789544471","4.22359270249085","4.25913243176018","4.25913243169301","4.25913243167142","5.42064298101","5.52806262044681","6.35706083128648","6.08132480279876","",
"Afghanistan","AFG","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.550718950842093","0.607901183432985","0.969459070090643","0.80192052698897","1.06242042765866","0.917706431110348","1.83285553341452","1.78899245806966","1.76455695706954","1.52964763083662","1.76409381099487","1.71684308915499","",
"Angola","AGO","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41133807142857","1.79607931616767","2.17891419634703","1.41360912638231","2.13167518869023","1.67728847438527","2.81238925394321","1.83979506798077","2.11493994799208","2.45099396739443","2.07892527702864","3.02243444400411","2.213763540855","2.71633272980246","2.66391941247972","2.06125546344669","2.15509470445327","2.159550801795","2.53236341027203","",
"Albania","ALB","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71300445620584","1.74619754639378","2.02450940420078","2.09512775760514","2.51017141697707","2.25841795640577","2.29222402052851","2.25632589397764","2.2521041528549","2.67940486963014","2.70645533298399","2.57513489671722","2.6291710202082","2.69389862025267","2.8335746085681","2.47656885792769","2.84917063396731","2.7739718956676","2.84552646126376","",
"Arab World","ARB","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.03052977044369","2.03857499857422","2.09498052922836","2.18566194513835","2.34520172142887","2.3339581457661","2.60059421258789","2.55559928455261","2.46506739949592","2.34274620498354","2.17056736205672","2.18050543729005","2.21323200670702","2.0979140286428","2.84990421178658","2.47308544061867","2.53575077934672","2.59920489181782","2.51704638787078","",
"United Arab Emirates","ARE","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.08173815419558","1.94880556697247","1.94839582103408","2.05670677677826","1.91762946940869","1.67705859570454","1.94449209925885","1.71398298375651","1.67154036851982","1.45604252982496","1.36889725033886","1.38250694819479","1.46491386559115","1.6491210625482","2.56656968817693","2.35479645614886","2.18489015229464","2.04793826730505","2.25007541316559","",
"Argentina","ARG","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09989198872147","3.82350680456812","3.75862355732536","3.81737357849502","4.25333331304886","4.09936407717935","4.18202359064392","3.67598559871437","3.509299465153","3.52239676013776","3.66423384785998","3.65486893225152","3.78307483855024","4.12109735255596","5.04078579794732","4.17318332400608","4.18928575104672","4.67713920735887","4.90979817052129","",
"Armenia","ARM","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99627256088393","1.62114807316446","1.40749616331981","1.64491307434176","1.61241488471853","1.13753200021719","1.59147462321654","1.36133246212179","1.51657026837835","1.40445070481591","1.9050534022982","2.05288205286519","2.09928499915695","1.7647703145651","2.01000473636314","1.92271239577562","1.93890559049812","1.87568153948212","1.88606552404751","",
"American Samoa","ASM","Health expenditure, public (% of GDP)","SH.XPD.PUBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
