Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																																							
Andorra	AND	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				3.893472909	4.140770556	4.200817969	5.609060907	3.845357703	3.887475262	3.952332475	4.113623773	3.964349512	3.954556982	3.976667895	4.223592702	4.259132432	4.259132432	4.259132432	5.420642981	5.52806262	6.357060831	6.081324803	
Afghanistan	AFG	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																											0.550718951	0.607901183	0.96945907	0.801920527	1.062420428	0.917706431	1.832855533	1.788992458	1.764556957	1.529647631	1.764093811	1.716843089	
Angola	AGO	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				3.411338071	1.796079316	2.178914196	1.413609126	2.131675189	1.677288474	2.812389254	1.839795068	2.114939948	2.450993967	2.078925277	3.022434444	2.213763541	2.71633273	2.663919412	2.061255463	2.155094704	2.159550802	2.53236341	
Albania	ALB	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				1.713004456	1.746197546	2.024509404	2.095127758	2.510171417	2.258417956	2.292224021	2.256325894	2.252104153	2.67940487	2.706455333	2.575134897	2.62917102	2.69389862	2.833574609	2.476568858	2.849170634	2.773971896	2.845526461	
Arab World	ARB	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.03052977	2.038574999	2.094980529	2.185661945	2.345201721	2.333958146	2.600594213	2.555599285	2.465067399	2.342746205	2.170567362	2.180505437	2.213232007	2.097914029	2.849904212	2.473085441	2.535750779	2.599204892	2.517046388	
United Arab Emirates	ARE	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.081738154	1.948805567	1.948395821	2.056706777	1.917629469	1.677058596	1.944492099	1.713982984	1.671540369	1.45604253	1.36889725	1.382506948	1.464913866	1.649121063	2.566569688	2.354796456	2.184890152	2.047938267	2.250075413	
Argentina	ARG	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				4.099891989	3.823506805	3.758623557	3.817373578	4.253333313	4.099364077	4.182023591	3.675985599	3.509299465	3.52239676	3.664233848	3.654868932	3.783074839	4.121097353	5.040785798	4.173183324	4.189285751	4.677139207	4.909798171	
Armenia	ARM	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				1.996272561	1.621148073	1.407496163	1.644913074	1.612414885	1.137532	1.591474623	1.361332462	1.516570268	1.404450705	1.905053402	2.052882053	2.099284999	1.764770315	2.010004736	1.922712396	1.93890559	1.875681539	1.886065524	
American Samoa	ASM	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																																							
Antigua and Barbuda	ATG	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				3.241150608	2.957546879	3.06591722	3.1538581	2.744197201	2.787802587	2.950005719	2.850001073	2.79999977	2.679791783	2.94999993	2.95000217	2.95	3.342897433	3.344215812	3.893490502	3.900987217	3.68487442	3.137557362	
Australia	AUS	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				4.773211634	4.854162795	5.013989409	5.082353511	5.324091318	5.390350064	5.418366983	5.611475712	5.496754138	5.714998567	5.652505883	5.651161033	5.756387612	5.917755197	6.17608908	6.057307132	6.207274606	5.978260302	5.978260302	
Austria	AUT	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				7.043043222	6.977052758	7.375619398	7.505569569	7.69113001	7.582089662	7.57687041	7.568096779	7.67512603	7.789099061	7.846857608	7.730378639	7.779595786	8.005342152	8.513157468	8.399989574	8.322466365	8.422090124	8.357896025	
Azerbaijan	AZE	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				1.391752577	1.485547018	1.228625712	0.903807033	0.985430464	0.866892751	0.846501129	0.791817882	0.82967797	1.028670035	0.880835032	0.864184359	0.980253879	0.824675486	1.338969721	1.168020723	1.080987673	1.210596595	1.159631247	
Burundi	BDI	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				1.759957101	1.7446773	1.364479963	1.76529931	1.745009168	1.930888712	2.389438029	2.371493817	2.029900658	3.613181416	3.202448166	3.629628143	3.780436201	3.355311709	3.093040182	5.499656744	5.404554945	4.929320793	4.385691395	
Belgium	BEL	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				5.845320714	6.184037718	5.853458123	5.899438232	6.023602105	6.058374217	6.252814633	6.244508972	7.049568526	7.15351317	7.138073743	6.986956444	6.973526044	7.419641488	8.067897628	7.919523857	8.029383419	8.193299407	8.479115713	
Benin	BEN	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.111729726	2.031550923	1.814422789	1.939795899	2.109912314	1.917526784	2.308263637	1.888670407	2.211266526	2.175232786	2.352479891	2.385750933	2.309428027	2.137665169	2.338826204	2.566508952	2.778710941	2.852230714	2.471102801	
Burkina Faso	BFA	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				1.666093834	1.73363723	1.860947197	1.868886505	2.168172578	2.034102545	1.846080799	2.199707623	2.563911441	3.279930641	4.092909198	4.189297783	4.611934672	4.006036792	3.667557941	3.965526919	3.619425686	3.586943679	3.745559402	
Bangladesh	BGD	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				1.275624209	1.253164229	1.103677892	1.060353899	1.04929924	1.07212377	1.177681876	1.228341038	1.130484021	1.199556361	1.113796071	1.205283552	1.14933238	1.09828948	1.136197875	1.206285017	1.196668726	1.131061076	1.314192917	
Bulgaria	BGR	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				3.88233284	3.619222257	3.784109861	3.654797166	3.962253285	3.768288276	4.305631558	4.645000723	4.708808852	4.443312508	4.451272761	3.926163169	3.965366556	4.082545638	4.000184422	4.221257049	4.014124385	4.176756611	4.518702577	
Bahrain	BHR	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.876444149	2.802466371	3.117982499	2.882243919	2.838708738	2.36240391	2.532862814	2.584307415	2.501109849	2.654302284	2.558645186	2.480923128	2.569824525	3.005914773	3.263402484	3.040808064	2.68061243	3.116259006	3.420470921	
"Bahamas, The"	BHS	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.729658793	2.773621502	2.357290764	2.53950482	2.467818787	2.502547589	2.466895956	2.510665427	2.647886116	2.880435633	2.642189649	3.272602098	3.18150171	3.354877435	3.526524151	3.460815505	3.55624227	3.304529689	3.198438072	
Bosnia and Herzegovina	BIH	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				3.489698607	5.002499001	3.515139185	3.350491306	4.753100667	4.049547423	4.335077156	4.422546495	5.47854787	5.173272166	4.988855596	5.122196329	5.451003248	5.934320543	6.936229738	6.91663317	7.04121071	7.206497241	6.742213941	
Belarus	BLR	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				4.793950726	4.696646667	5.427282392	4.588919066	4.715802066	4.626454601	4.739935353	4.56054873	4.865755485	4.922951001	5.02273829	4.450400126	4.451424327	3.871576449	3.895442404	4.314805547	3.472557648	3.8657579	3.966178523	
Belize	BLZ	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.632365105	2.048041027	2.263610904	2.155696531	2.035489938	2.091697325	2.589422536	2.456541778	2.589394305	2.507171752	2.647957515	2.669233756	3.022412575	3.288572472	3.857975346	3.854556453	3.720614137	3.469952305	3.389934559	
Bermuda	BMU	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																																							
Bolivia	BOL	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.852807748	2.978225519	2.919398886	3.122442059	3.6028609	3.651174773	3.744167608	4.101807461	3.346447684	3.337540902	3.693532872	3.353105107	3.200005996	3.207456518	3.80803742	3.619350457	3.521555305	4.143671007	4.754698421	
Brazil	BRA	"Health expenditure, public (% of GDP)"	SH.XPD.PUBL.ZS																																				2.861455896	2.776418453	2.924355825	2.873275767	3.028199839	2.887453136	3.074081356	3.211769753	3.11678769	3.353130751	3.471060524	3.552082881	3.528744698	3.7013011	3.946621045	4.235580895	4.346448178	4.522785715	4.660239865	
