"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.08","","","","","","","",
"Angola","AGO","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","2.18","","","","","","",
"Albania","ALB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78","","","","","","3.49","","3.45","3.37","","","3.73","","","","3.66","","",
"Arab World","ARB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1.95","1.73","","","","1.75","1.6","1.48","1.5","1.13","1.03","1.08","1.07","1.07","0.95","0.65","0.87","0.75","0.97","1.06","1.1","1.22","1.26","1.24","1.46","1.57","","","",
"Armenia","ARM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","3.12","","","3.19","3.34","3.68","3.08","3.35","3.57","3.67","3.75","3.87","3.82","3.72","3.72","","",
"American Samoa","ASM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","2.71","","","","2.63","","","","","","2.09","","","","","","2.31","","2.39","","","","","","","","","","","",
"Austria","AUT","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","","","","","","2.93","2.28","","3.09","","","3.31","","","","3.36","","","","","","","","","","",
"Azerbaijan","AZE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75","","","","","","3.22","5.77","5.41","6.07","6.1","","","3.33","","","","","","",
"Burundi","BDI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41","","","","","","1.83","","","","","","","","4.14","","","","","","","","",
"Belgium","BEL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","3.91","","","3.89","","","","3.73","","","3.33","","3.43","","","3.31","","","","","","","","","","","","","","",
"Benin","BEN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","2.7","","","",
"Burkina Faso","BFA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25","","","","2.42","","","","","2.46","","","","","","2.87","","","","","",
"Bangladesh","BGD","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","4.13","4.47","","","4.16","","","4.13","","","","3.91","","","","","3.91","","","","","3.98","","","","","3.99","","","","",
"Bulgaria","BGR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56","","","3.33","","4.39","2.93","","4.52","","","","2.35","","3.44","","","","3.26","2.42","","2.07","2.07","","","",
"Bahrain","BHR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.59","","","2.94","","","3","","","","","","","",
"Belarus","BLR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.47","","","","","4.87","","3.39","","","3.69","3.62","3.62","3.62","3.38","3.42","3.88","3.66","3.63","3.59","3.79","3.71","3.76","3.88","","","",
"Belize","BLZ","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.82","0.8","0.66","1.09","0.71","1.08","0.93","","","","","","","","","","","","","","","",
"Bermuda","BMU","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.32","","","1.23","","","","0.48","","0.26","0.13","0.35","0.27","","0.92","0.45","0.5","0.67","0.76","0.68","","1.05","0.84","","",
"Brazil","BRA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","0.88","0.93","0.86","0.74","0.64","0.6","0.76","","0.82","0.69","","0.76","0.66","0.69","0.75","0.78","","0.71","0.81","0.79","0.89","0.93","0.96","0.9","0.99","0.98","","0.98","1.04","","",
"Barbados","BRB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","2.8","","","","","2.86","","",
"Botswana","BWA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.43","","","","","","","","","1.28","","","","","","","","","0.82","","","","","","1.05","","","","","",
