Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Andorra	AND	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Afghanistan	AFG	Income share held by lowest 20%	SI.DST.FRST.20																																																9.4							
Angola	AGO	Income share held by lowest 20%	SI.DST.FRST.20																																									2								5.4						
Albania	ALB	Income share held by lowest 20%	SI.DST.FRST.20																																					8.72						8.35		8.18	8.13			8.87				8.85		
Arab World	ARB	Income share held by lowest 20%	SI.DST.FRST.20																																																							
United Arab Emirates	ARE	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Argentina	ARG	Income share held by lowest 20%	SI.DST.FRST.20																											5.12	4.61				4.81	4.6	4.45	4.38	3.76	3.52	3.55	3.41	3.49	3.19	2.58	2.76	2.72	3.21	3.43	3.58	3.86	3.92	3.93	4.36	4.58			
Armenia	ARM	Income share held by lowest 20%	SI.DST.FRST.20																																					5.53		7.6			7.73	8.05	8.66	7.59	8.09	8.52	8.73	8.88	9.11	8.94	8.77	8.77		
American Samoa	ASM	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Antigua and Barbuda	ATG	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Australia	AUS	Income share held by lowest 20%	SI.DST.FRST.20																										7.47				7.26						6.8						6.94		7.03											
Austria	AUT	Income share held by lowest 20%	SI.DST.FRST.20																												10.39							7.88	6.95		8.1			8.55				8.46										
Azerbaijan	AZE	Income share held by lowest 20%	SI.DST.FRST.20																																				6.94						7.47	12.86	12.21	13.32	13.37			8.13						
Burundi	BDI	Income share held by lowest 20%	SI.DST.FRST.20																																	7.94						5.14								8.96								
Belgium	BEL	Income share held by lowest 20%	SI.DST.FRST.20																										9.59			9.58				9.52			8.61		8.97			8.35														
Benin	BEN	Income share held by lowest 20%	SI.DST.FRST.20																																												6.99								6.14			
Burkina Faso	BFA	Income share held by lowest 20%	SI.DST.FRST.20																																			5.12				5.89					5.81						6.72					
Bangladesh	BGD	Income share held by lowest 20%	SI.DST.FRST.20																									9.72	10.04			9.45			9.62				8.66					8.66					8.79					8.88				
Bulgaria	BGR	Income share held by lowest 20%	SI.DST.FRST.20																														10.45			8.31		10.22	7.7		10.12				6.58		8.75				8.5	6.94		6.21	6.41			
Bahrain	BHR	Income share held by lowest 20%	SI.DST.FRST.20																																																							
"Bahamas, The"	BHS	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Bosnia and Herzegovina	BIH	Income share held by lowest 20%	SI.DST.FRST.20																																										8.79			7.4			7.47							
Belarus	BLR	Income share held by lowest 20%	SI.DST.FRST.20																													10.49					11.12		8.51			9.06	8.89	8.88	8.89	8.36	8.49	9.44	8.92	8.79	8.8	9.19	9.06	9.04	9.37			
Belize	BLZ	Income share held by lowest 20%	SI.DST.FRST.20																																		2.95	2.9	2.05	3.37	2.9	3.35	3.24															
Bermuda	BMU	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Bolivia	BOL	Income share held by lowest 20%	SI.DST.FRST.20																															5.62			3.66				2.03		1.28	0.8	1.61	1.48		3.09	1.89	2.1	2.7	2.97	2.91		3.68	3.32		
Brazil	BRA	Income share held by lowest 20%	SI.DST.FRST.20																									2.74	2.88	2.66	2.37	2.14	1.99	2.33		2.81	2.35		2.43	2.25	2.3	2.42	2.5		2.4	2.6	2.59	2.82	2.9	3	2.97	3.14	3.17		3.25	3.39		
Barbados	BRB	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Brunei Darussalam	BRN	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Bhutan	BTN	Income share held by lowest 20%	SI.DST.FRST.20																																												5.36				6.64					6.75		
Botswana	BWA	Income share held by lowest 20%	SI.DST.FRST.20																										3.6									3.13									2.27						2.84					
Central African Republic	CAF	Income share held by lowest 20%	SI.DST.FRST.20																																	1.99											5.21					3.37						
Canada	CAN	Income share held by lowest 20%	SI.DST.FRST.20																												7.51				7.63			7.53			7.28	6.85		6.92				6.89			7.15			7.1				
Central Europe and the Baltics	CEB	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Switzerland	CHE	Income share held by lowest 20%	SI.DST.FRST.20																																	5.32								7.6		7.82		7.6										
Channel Islands	CHI	Income share held by lowest 20%	SI.DST.FRST.20																																																							
Chile	CHL	Income share held by lowest 20%	SI.DST.FRST.20																												3.35			3.36		3.83		3.46		3.65		3.51		3.69			3.83			4.24			4.3		4.52			
China	CHN	Income share held by lowest 20%	SI.DST.FRST.20																									8.85			7.99			8.04			7.35			7.24			6.39			5.47			4.99			4.78		4.67				
