Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Andorra	AND	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Afghanistan	AFG	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Angola	AGO	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																									54.31								43.37						
Albania	ALB	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																					0.2						0.73		0.53	0.44			0.2				0.46		
Arab World	ARB	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
United Arab Emirates	ARE	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Argentina	ARG	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																											0	0				0.97	1.77	2.05	1.93	3.87	4.27	3.77	3.99	4.2	5.06	8.25	12.58	9	6.29	4.62	3.76	3.01	2.74	2.68	1.73	1.41			
Armenia	ARM	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																					17.5		16.76			18.83	14.5	10.68	7.6	4.22	3.17	3.37	1.41	1.56	2.5	2.45	1.75		
American Samoa	ASM	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Antigua and Barbuda	ATG	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Australia	AUS	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Austria	AUT	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Azerbaijan	AZE	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																				25.23						6.27	0.02	0.04	0	0			0.31						
Burundi	BDI	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																	84.24						86.43								81.32								
Belgium	BEL	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Benin	BEN	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																												47.33								51.61			
Burkina Faso	BFA	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																			71.17				70.03					48.9						44.46					
Bangladesh	BGD	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																									69.55	64.35			71.61			70.22				60.91					58.59					50.47					43.25				
Bulgaria	BGR	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																														0.04			0		0.22	0.82		0.32				2.12		0.62				0.26	0.73		1.64	1.9			
Bahrain	BHR	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
"Bahamas, The"	BHS	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																																							
Bosnia and Herzegovina	BIH	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																										0.28			0.1			0.04							
Belarus	BLR	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																													0.08					0.02		0.36			0.84	0.38	0.26	0.12	0.47	0.5	0.06	0.06	0.05	0	0	0.01	0	0			
Belize	BLZ	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	SI.POV.DDAY																																		9.09	8.93	14.03	9.66	12.45	11.31	12.21															
