Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Andorra	AND	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Afghanistan	AFG	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Angola	AGO	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																									29.94								16.45						
Albania	ALB	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																					0.02						0.12		0.11	0.08			0.03				0.1		
Arab World	ARB	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
United Arab Emirates	ARE	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Argentina	ARG	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																											0	0				0.64	1.12	1.17	1.4	2.22	2.76	2.22	2.1	2.39	2.73	4.57	4.95	4.46	2.87	2.04	1.74	1.64	1.31	1.38	0.89	0.78			
Armenia	ARM	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																					4.68		3.78			4.29	3.11	1.93	1.74	0.87	0.54	0.64	0.31	0.25	0.38	0.4	0.31		
American Samoa	ASM	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Antigua and Barbuda	ATG	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Australia	AUS	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Austria	AUT	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Azerbaijan	AZE	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																				7.51						1.1	0	0	0	0			0.12						
Burundi	BDI	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																	40.2						47.28								36.39								
Belgium	BEL	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Benin	BEN	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																												15.73								18.82			
Burkina Faso	BFA	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																			34.72				30.18					18.25						14.59					
Bangladesh	BGD	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																									22.36	19.16			24.57			23.82				19.93					18.61					14.17					11.17				
Bulgaria	BGR	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																														0.04			0		0.22	0.2		0.11				0.47		0.09				0.09	0.32		0.55	0.81			
Bahrain	BHR	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
"Bahamas, The"	BHS	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Bosnia and Herzegovina	BIH	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																										0.09			0.03			0.01							
Belarus	BLR	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																													0.06					0		0.28			0.13	0.08	0.08	0.03	0.1	0.1	0.01	0	0.02	0	0	0	0	0			
Belize	BLZ	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																		4.86	5.18	5.39	4.61	6.89	4.8	5.52															
Bermuda	BMU	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Bolivia	BOL	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																															0.67			3.46				8.88		14.08	17.76	12.06	12.83		5.07	9.78	8.2	6.26	5.28	5.56		3.12	4.2		
Brazil	BRA	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																									6	5.17	3.82	5.5	6.25	5.74	6.23		7.19	6.71		4.1	4.86	4.71	4.02	4.14		4.6	3.76	4.18	3.48	3	2.61	2.98	2.41	2.4		2.51	2.14		
Barbados	BRB	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Brunei Darussalam	BRN	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Bhutan	BTN	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																												6.05				1.81					0.37		
Botswana	BWA	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																										13.81									11.04									8.54						3.95					
Central African Republic	CAF	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																	57.41											28.3					31.26						
Canada	CAN	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
Central Europe and the Baltics	CEB	Poverty gap at $1.25 a day (PPP) (%)	SI.POV.GAPS																																																							
