Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Andorra	AND	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Afghanistan	AFG	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																7.9				8.4			
Angola	AGO	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																	12.7						
Albania	ALB	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																											5.7			4			2.3				2.9		
Arab World	ARB	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
United Arab Emirates	ARE	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Argentina	ARG	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Armenia	ARM	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																	5.1	7.8	8.1	7.9	5.6	5.9	
American Samoa	ASM	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Antigua and Barbuda	ATG	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Australia	AUS	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Austria	AUT	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Azerbaijan	AZE	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																2							
Burundi	BDI	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																															23.4								
Belgium	BEL	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Benin	BEN	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																9.5			10.4	9.8			
Burkina Faso	BFA	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																												19						15.1					
Bangladesh	BGD	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																									12.8					9					6.54				
Bulgaria	BGR	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Bahrain	BHR	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
"Bahamas, The"	BHS	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
Bosnia and Herzegovina	BIH	Poverty gap at national poverty lines (%)	SI.POV.NAGP																																																							
