Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Andorra	AND	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Afghanistan	AFG	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																28.9				27.6			
Angola	AGO	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																	18.7						
Albania	ALB	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																											19.5			11.2			10.1				13.6		
Arab World	ARB	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
United Arab Emirates	ARE	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Argentina	ARG	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																												47.8	40.2	33.8	26.9	20.6	15.3	13.2	9.9	6.5	5.4	4.7	
Armenia	ARM	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																										48.5							27.6	33.7	35.7	35.2	32.5	32.2	
American Samoa	ASM	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Antigua and Barbuda	ATG	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Australia	AUS	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Austria	AUT	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Azerbaijan	AZE	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																										55.7													
Burundi	BDI	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																															34								
Belgium	BEL	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Benin	BEN	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																															35.4	28.3			29.8	31.4			
Burkina Faso	BFA	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																												22.2						25.2					
Bangladesh	BGD	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																42.7				27.8					35.2					28.4					21.28				
Bulgaria	BGR	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Bahrain	BHR	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
"Bahamas, The"	BHS	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Bosnia and Herzegovina	BIH	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Belarus	BLR	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																									37.9					10.9	9.1	5.6	4.4	4	3.8	5.8	5.2	4.2	
Belize	BLZ	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Bermuda	BMU	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Bolivia	BOL	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																								51.4	54.5	54.3	53.9		54.4	51.052003	50.3	50.9	48.7	43.3		36.840229			
Brazil	BRA	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Barbados	BRB	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Brunei Darussalam	BRN	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Bhutan	BTN	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																1.7					1.8		
Botswana	BWA	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																										30									24.7									19.4						11					
Central African Republic	CAF	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																	49.6						
Canada	CAN	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Central Europe and the Baltics	CEB	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Switzerland	CHE	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Channel Islands	CHI	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Chile	CHL	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																															25.8			22.6		19.9		12.4	
China	CHN	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																					2		2																
Cote d'Ivoire	CIV	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																										6.8								24.4					28.6				32.3						29.4						
Cameroon	CMR	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																					41.4					17.9						12.2							
"Congo, Rep."	COG	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																														43.3									
Colombia	COL	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																											45.5	44.9	43.7	41.1			37.4	36	33.3	30.3	28.4	26.9	
Comoros	COM	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																													34.5										
Cabo Verde	CPV	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																13.2							
Costa Rica	CRI	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																			18.3	19.1	17.6	18.2	19.5
Caribbean small states	CSS	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Cuba	CUB	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Curacao	CUW	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Cayman Islands	CYM	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Cyprus	CYP	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Czech Republic	CZE	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Germany	DEU	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Djibouti	DJI	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Dominica	DMA	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Denmark	DNK	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Dominican Republic	DOM	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																									23.7	24.8	24.9	33.9	44.1	42.8	38.8	39.1	38.8	37.9	37.3	36.5	36.8	36.3	
Algeria	DZA	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
East Asia & Pacific (developing only)	EAP	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
East Asia & Pacific (all income levels)	EAS	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Europe & Central Asia (developing only)	ECA	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Europe & Central Asia (all income levels)	ECS	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Ecuador	ECU	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																													53.6	59.9	65.3	59.6	60.1	53.3	54.9	43.6	40.3	38.3	54.5	58.5	54.6	45.3		38.8	32.5	31	25.9	24.3	22.6	25	22.5	17.4	16.1	17.6	16.4
"Egypt, Arab Rep."	EGY	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																									9.3				10.1					11		15.3			
Euro area	EMU	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Eritrea	ERI	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																		62																					
Spain	ESP	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Estonia	EST	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
Ethiopia	ETH	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																				33.2				36.9					35.1						25.7				
European Union	EUU	Urban poverty headcount ratio at national poverty lines (% of urban population)	SI.POV.URHC																																																							
