"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7000007629395","46.5999984741211","46.4000015258789","46.2999992370605","46.2000007629395","46.0999984741211","46","45.9000015258789","45.7999992370605","45.4000015258789","45.4000015258789","45.4000015258789","45.4000015258789","45.5999984741211","43.7999992370605","43.9000015258789","43.7999992370605","44","43.7999992370605","44","43.9000015258789","43.7000007629395","44","",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.0999984741211","66.3000030517578","66.9000015258789","67","67","66.8000030517578","66.5999984741211","66.4000015258789","66.4000015258789","66.4000015258789","66.4000015258789","66.0999984741211","66","65.9000015258789","65.5","65","64.5999984741211","64.3000030517578","64.5999984741211","64.9000015258789","65","65","65.1999969482422","",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7000007629395","56","53.7999992370605","53.7999992370605","53.9000015258789","54.2999992370605","55","53.7999992370605","53.2999992370605","53.7999992370605","47.7999992370605","53.2999992370605","52.7999992370605","52","51.2000007629395","50.5","49.0999984741211","48.5999984741211","47.5999984741211","47.2999992370605","47.4000015258789","47.4000015258789","46.2999992370605","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5099424478779","42.0873780197375","42.1310866127479","42.4428272799493","42.3173393451469","42.3208846328431","42.4050857505488","42.155104527586","42.3781274300431","41.7691070901364","41.4832455542992","41.2761208489156","41.3914267700107","42.0313049661872","42.7461017902789","42.9696084967336","43.6011974728061","43.9685947826627","44.1482143923669","44.3538043243462","44.0579753278775","44.2362905421901","44.622038100321","",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9000015258789","71.3000030517578","71.9000015258789","73.1999969482422","73.9000015258789","73.5999984741211","73.9000015258789","73.5999984741211","73.6999969482422","74.5","73.8000030517578","73.9000015258789","74.3000030517578","74","74.1999969482422","74.1999969482422","74.3000030517578","74","74.3000030517578","74.9000015258789","75.4000015258789","76.0999984741211","76.9000015258789","",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.9000015258789","54","51.9000015258789","50.7000007629395","47.0999984741211","48","49.2000007629395","50.4000015258789","49.7000007629395","49.2000007629395","47.4000015258789","47.7999992370605","49","54.2999992370605","55.5999984741211","55.9000015258789","56.5999984741211","56.7000007629395","56","55.7999992370605","56.2000007629395","56.2999992370605","56.2000007629395","",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4000015258789","54.4000015258789","53.5","54","50.2000007629395","53.2000007629395","53.9000015258789","53.2000007629395","53.4000015258789","52.4000015258789","41.2999992370605","45.7000007629395","44.5","40.7000007629395","43.5999984741211","42.5999984741211","42.2000007629395","48.9000015258789","48.0999984741211","49.9000015258789","51.5","52.0999984741211","53.2000007629395","",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2000007629395","56.2000007629395","55.9000015258789","57","58.4000015258789","58.2000007629395","57.9000015258789","58.2999992370605","58.7000007629395","59.4000015258789","59.0999984741211","59.4000015258789","59.9000015258789","60.0999984741211","61.2999992370605","61.7999992370605","62.5","62.9000015258789","61.9000015258789","62.2000007629395","62.2999992370605","61.9000015258789","61.5","",
"Austria","AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54.7000007629395","54.5999984741211","56.5999984741211","56.7999992370605","56","55.7999992370605","55.7000007629395","56","56","56","56.4000015258789","56.5","55.4000015258789","55.7999992370605","56.7999992370605","57.7999992370605","58.2999992370605","57.9000015258789","57.9000015258789","58.2000007629395","58.2999992370605","58","",
"Azerbaijan","AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.0999984741211","58.0999984741211","58.5","59","59.5999984741211","60.7999992370605","59.5999984741211","57.2000007629395","60.5","56.5","57.2000007629395","57.9000015258789","58.4000015258789","59.0999984741211","59.5","59.9000015258789","60.0999984741211","60.4000015258789","61.0999984741211","60.9000015258789","61.5","62.2000007629395","62.5","",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8000030517578","83.1999969482422","82.5999984741211","82","81.1999969482422","80.5","79.6999969482422","78.9000015258789","78.5","78.0999984741211","77.8000030517578","77.5","77.0999984741211","76.8000030517578","76.5999984741211","76.5","76.4000015258789","76.3000030517578","76.3000030517578","76.4000015258789","76.5999984741211","76.6999969482422","76.9000015258789","",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7999992370605","46.2000007629395","45.5999984741211","45.4000015258789","45.7000007629395","45.5999984741211","45.9000015258789","46","47.4000015258789","48.7000007629395","47.5999984741211","47.7000007629395","47.4000015258789","47.9000015258789","48.7000007629395","48.7000007629395","49.5999984741211","49.9000015258789","49.0999984741211","49.4000015258789","49.2000007629395","49","48.7999992370605","",
"Benin","BEN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9000015258789","71.5","71.9000015258789","72.0999984741211","72.3000030517578","72.3000030517578","72.1999969482422","72","71.9000015258789","71.8000030517578","71.6999969482422","71.5","71.4000015258789","71.3000030517578","71.4000015258789","71.5999984741211","71.6999969482422","71.8000030517578","71.8000030517578","72","72","72.0999984741211","72.0999984741211","",
