Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																2.299999952									2.5							3.299999952							
Andorra	AND	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Afghanistan	AFG	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Angola	AGO	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Albania	ALB	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																				63.79999924	68.90000153	62	
Arab World	ARB	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
United Arab Emirates	ARE	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																														0.5			0.300000012	0.5					
Argentina	ARG	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																															27	26.60000038	25.10000038	25.5	25.39999962	22.70000076	23.20000076	22.5	22	21.60000038	20.60000038	21.39999962	20	19.10000038	19	18.60000038	17.29999924	16.60000038	16.39999962	16.89999962	16.5	16.10000038	16.10000038		
Armenia	ARM	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																	30	22.39999962	27.5	29.29999924			
American Samoa	ASM	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Antigua and Barbuda	ATG	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																13.69999981										7													
Australia	AUS	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																												9.100000381	9	8.699999809	8.5	9.100000381	9.399999619	9.699999809	9.100000381	8.800000191	8.699999809	9	8.199999809	8.100000381	7.900000095	7.5	7.800000191	7.599999905	7.400000095	7.400000095	7	6.900000095	6.900000095						
Austria	AUT	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																				11.39999962	11.5	10.39999962	10	10.10000038	9.399999619	9.300000191	9.100000381	8.5	8.199999809	8.399999619	8.5	9.399999619	8.699999809	8.399999619	8.600000381	8.600000381	8.300000191	8.300000191	
Azerbaijan	AZE	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																												64.19999695	62.09999847	62.59999847	65.09999847	66	62.09999847					62.09999847	
Burundi	BDI	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																							97.59999847																
Belgium	BEL	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																								18.70000076	21	20	18.60000038	16.89999962	16.20000076	17.10000038	16.5	14.89999962	15.89999962	15.19999981	14.80000019	15.69999981	15.30000019	14.60000038	14.19999981	13.69999981	11.5	11	11.39999962	10.69999981	9.399999619	10	9.399999619	9.300000191	8.699999809	9	8.399999619	8.600000381	8.399999619	8.399999619	
Benin	BEN	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																												95.80000305											
Burkina Faso	BFA	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																										99									98.30000305									97			93.09999847								
Bangladesh	BGD	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																					85				84.19999695			82.19999695		86.5									
Bulgaria	BGR	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																									11.60000038	9.800000191	10.30000019	10.39999962	10.30000019	8.800000191	7.800000191	7.099999905	7.5	7.699999809	8	7.099999905	6.599999905	6.800000191	
Bahrain	BHR	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																											1.200000048	1.100000024	0.5	1.100000024	1.100000024	1.100000024	1.100000024	1.100000024	1.100000024				
"Bahamas, The"	BHS	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																							10.80000019	11.10000038															
Bosnia and Herzegovina	BIH	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																		29.60000038	28	25.39999962	27.70000076	24.10000038	
Belarus	BLR	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																		1.700000048					
Belize	BLZ	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																				22.39999962	20.89999962									21.5									
Bermuda	BMU	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Bolivia	BOL	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																														54	50.09999847	51.29999924	51.90000153	49.90000153	52.59999847	54.59999847	56.29999924	57.90000153		75.59999847	73.19999695	72.5	72.59999847	71.59999847	71.59999847	70.59999847	69	66.80000305	66.5	64.40000153					
Brazil	BRA	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																															29.89999962		38.29999924	38		37.79999924	34.59999847				22	32.59999847	32.90000153	32.59999847	32	25.29999924	24.20000076	24	22.60000038	22.39999962					
Barbados	BRB	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																															8.600000381	8.100000381	9.199999809	9.699999809	9.399999619	9.199999809	9.300000191	7.800000191	8.399999619	9	7.900000095	9	9	8.399999619	9.899999619										
Brunei Darussalam	BRN	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																3.400000095																							
Bhutan	BTN	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																															79.69999695			85.5	76.69999695	83.09999847	67.5		
Botswana	BWA	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																									62.20000076										33.79999924												38.90000153				16				
Central African Republic	CAF	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Canada	CAN	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
Central Europe and the Baltics	CEB	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																22.7949326										23.30710307										16.2965029			
Switzerland	CHE	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																11	11	11.69999981	11.19999981	10.30000019	8	8	7.699999809	7.599999905	7.400000095	10.69999981	10.60000038	11.10000038	9.899999619	10.19999981	10.39999962	10.60000038	9.899999619	9.800000191	9.399999619	10	9.800000191	9.600000381	
Channel Islands	CHI	"Vulnerable employment, female (% of female employment)"	SL.EMP.VULN.FE.ZS																																																							
