Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																			13.80000019			25.39999962																	
Andorra	AND	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Afghanistan	AFG	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Angola	AGO	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Albania	ALB	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Arab World	ARB	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
United Arab Emirates	ARE	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Argentina	ARG	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																			32.40000153	30.89999962	31.79999924		
Armenia	ARM	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																										70.80000305							63.79999924						
American Samoa	ASM	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Antigua and Barbuda	ATG	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Australia	AUS	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																					18.60000038	17.60000038	17	22.89999962	25.20000076	23.5	21	21.39999962	22	18.5	17.10000038	21	29.20000076	30.79999924	30.5	27.10000038	24.60000038	27.39999962	28.39999962	26.20000076	23.60000038	20.89999962	18.39999962	17.39999962	17.60000038	15.39999962	15.39999962	14.39999962	13.89999962	14.30000019	16.39999962	18	19.29999924		
Austria	AUT	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																			18.5	30.39999962	28.20000076	27.39999962	30.70000076	30.89999962	22.79999924	22.89999962	23.29999924	23.89999962	26.5	24.89999962	25.10000038	27.10000038	22.60000038	21	22	24.20000076	23.70000076		
Azerbaijan	AZE	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Burundi	BDI	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Belgium	BEL	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																								69	70.5	71.80000305	71.80000305	74.90000153	77.5	76.09999847	68.40000153	64.5	61	58.90000153	62.59999847	63.20000076	63.29999924	61.5	63.5	60.90000153	56.70000076	50.79999924	49.90000153	47.09999847	49.09999847	52.59999847	52.40000153	51.20000076	47.90000153	44.90000153	47.59999847	49.70000076	42.90000153		
Benin	BEN	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Burkina Faso	BFA	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Bangladesh	BGD	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																																							
Bulgaria	BGR	"Long-term unemployment, female (% of female unemployment)"	SL.UEM.LTRM.FE.ZS																																		52.29999924	60.5	65.90000153	61.5	58.79999924	57.20000076	55.5	58.40000153	62.70000076	65.59999847	67.69999695	59.90000153	61	56.40000153	61.09999847	53.40000153	46.40000153	46.5	54	53		
