Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																			16.20000076			40.20000076																	
Andorra	AND	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Afghanistan	AFG	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Angola	AGO	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Albania	ALB	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Arab World	ARB	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
United Arab Emirates	ARE	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Argentina	ARG	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																			22.5	21.60000038	23.60000038		
Armenia	ARM	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																										72.19999695							52.20000076						
American Samoa	ASM	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Antigua and Barbuda	ATG	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Australia	AUS	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																					19.70000076	21.29999924	20.10000038	26.70000076	34.90000153	35.79999924	32.5	32.90000153	32.40000153	30	24.10000038	25.60000038	36.09999847	40.5	39.90000153	35.40000153	31.29999924	33.90000153	36.09999847	35.09999847	31.79999924	26.20000076	25.39999962	24.79999924	23.20000076	20.70000076	20.5	16.29999924	15.80000019	15	20.29999924	19.70000076	21.20000076		
Austria	AUT	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																			18.39999962	27.89999962	22.39999962	27.5	30	27.79999924	28.10000038	23.70000076	16.39999962	25	28.60000038	25.60000038	29.5	26.60000038	25.79999924	21.5	27.79999924	27.5	25.70000076		
Azerbaijan	AZE	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
Burundi	BDI	"Long-term unemployment, male (% of male unemployment)"	SL.UEM.LTRM.MA.ZS																																																							
