Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Aruba	ABW	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	53.66735458	53.89014053	54.21691132	54.63780975	55.11932373	55.63110352	56.16856003	56.73654938	57.34178162	57.98310852	58.67434311	59.40475845	60.16474915	60.9389267	61.74638748	62.5686264	63.42240524	64.29612732	65.1615448	65.95418549	66.63504791	67.18840027	67.60889435	67.90881348	68.08263397	68.15383911	68.09909821	67.94210052	67.75872803	67.6907196	67.7962265	68.12744904	68.60848236	69.09845734	69.47327423	69.66984558	69.68447876	69.57061005	69.3970871	69.26654816	69.24211121	69.35001373	69.54787445	69.76550293	69.91756439	69.93831635	69.81056976	69.56302643	69.26409149	69.02029419	68.89081573	68.90377808	69.03129578	69.28219529	
Andorra	AND	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS																																																							
Afghanistan	AFG	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	53.83463669	53.77389145	53.73008728	53.68207169	53.60277176	53.47607803	53.29895401	53.08307648	52.84600067	52.61117935	52.3953476	52.20167923	52.02654648	51.8698616	51.72963715	51.60302353	51.49126816	51.39252472	51.29624939	51.18805695	51.05672073	50.89311981	50.69638062	50.47499847	50.24846268	50.03731918	49.84489441	49.67093658	49.53597641	49.46545029	49.46857452	49.55508804	49.6894989	49.79969025	49.82330704	49.73835373	49.54148865	49.26107407	48.94784546	48.67427444	48.49277878	48.42559814	48.45069885	48.52738571	48.60419846	48.65489197	48.67228699	48.68465805	48.74339676	48.91277695	49.23207092	49.70506287	50.3073349	51.0277211	
Angola	AGO	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	53.58710098	53.23638535	52.86877441	52.50839233	52.18460464	51.91633224	51.70838547	51.552742	51.43889236	51.35144806	51.27891922	51.21898651	51.17230225	51.13385773	51.0989151	51.06354141	51.02549744	50.98353958	50.93634415	50.88336563	50.82437134	50.7612114	50.69435883	50.62121201	50.53824615	50.44391632	50.3365097	50.21989441	50.1051178	50.00656128	49.93378067	49.88856888	49.86597824	49.86015701	49.8632431	49.86944962	49.87870407	49.8910141	49.90133667	49.90400696	49.89591217	49.87915039	49.8570137	49.83018875	49.79951096	49.76740265	49.7340889	49.70496368	49.6927681	49.71216965	49.77217484	49.8742981	50.01420975	50.09719808	
Albania	ALB	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	52.94104385	52.55287552	52.16495514	51.82849121	51.60239792	51.5221138	51.59298706	51.79239655	52.09015274	52.44620895	52.83103943	53.2396965	53.67264557	54.11400223	54.54760361	54.96366882	55.35568237	55.72698975	56.08914566	56.45760345	56.84217072	57.23738861	57.63730621	58.04768753	58.47404099	58.91479111	59.37338257	59.83683777	60.27339554	60.64989853	60.95114517	61.1774292	61.34557724	61.47813416	61.60507965	61.74909592	61.91282272	62.09336853	62.30053711	62.54580688	62.83787155	63.18581772	63.58792496	64.02875519	64.48410797	64.93399811	65.36235809	65.7706604	66.17556	66.60411835	67.06977844	67.57803345	68.10437775	68.64311305	
Arab World	ARB	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	53.44337718	53.07878225	52.73050234	52.4145332	52.14912055	51.94496478	51.80467354	51.72083711	51.68118286	51.66976639	51.67529123	51.69518162	51.73056901	51.77903157	51.83850983	51.9073119	51.98275954	52.06384063	52.15236654	52.25133264	52.36234128	52.48968307	52.63149265	52.77749878	52.91441972	53.03851735	53.1454729	53.24489939	53.3602418	53.51891609	53.70590377	53.98690584	54.23154284	54.60936894	55.01550525	55.53377342	55.96768033	56.41673987	56.88326234	57.36741187	57.86710977	58.37625373	58.8883657	59.40100522	59.91268462	60.41938309	60.92131397	61.40988331	61.86379647	62.2590463	62.58192117	62.83048058	63.01437174	63.13226568	
United Arab Emirates	ARE	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	53.41152573	54.70340729	56.38295746	58.0066452	59.25556564	60.08910751	60.5226593	60.77617264	61.21253204	62.17034531	63.6386795	65.28759003	66.82163239	68.13034058	69.16558838	69.92690277	70.52337646	70.96986389	71.17473602	71.06235504	70.63503265	69.91757202	69.00944519	68.06685638	67.28748322	66.80307007	66.60572052	66.63654327	66.88845825	67.34708405	67.98474121	68.82807159	69.8285141	70.8264389	71.6456604	72.2042923	72.53681946	72.74752808	72.92832947	73.18671417	73.6108017	74.08493042	74.6367569	75.56939697	77.12306213	79.13510895	81.31432343	83.25439453	84.67702484	85.5032959	85.80554962	85.67559052	85.23086548	84.28855412	
Argentina	ARG	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	63.65385437	63.58614731	63.54510498	63.52742386	63.52826691	63.5426178	63.56668472	63.59582138	63.62280273	63.63938904	63.63792419	63.62246323	63.58926392	63.51589966	63.37493896	63.15190506	62.84013367	62.45727539	62.04271698	61.64812469	61.30979538	61.04095078	60.83296585	60.67317963	60.54109955	60.42367935	60.31578445	60.22622299	60.17170334	60.17424774	60.24624634	60.39356995	60.60367966	60.84856033	61.09145355	61.30763626	61.48703003	61.63889694	61.78161621	61.94172287	62.13665009	62.36912537	62.62908936	62.90525436	63.18152237	63.44551086	63.69416046	63.92808914	64.14311981	64.33537292	64.50208282	64.64280701	64.75757599	64.81808268	
Armenia	ARM	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS	55.19514847	54.38593674	53.71611786	53.22008514	52.92790604	52.85333252	52.99547195	53.33654404	53.84904099	54.4978981	55.25081635	56.09160995	57.00357437	57.95465851	58.91180038	59.84746933	60.75566101	61.6243515	62.41750336	63.09386063	63.62717819	64.00482178	64.2400589	64.36470032	64.4225769	64.44438934	64.45095825	64.43708801	64.37950134	64.24295807	64.00778961	63.65065384	63.19063187	62.70602417	62.32244873	62.14466476	62.22935867	62.5533371	63.04919815	63.60709381	64.14506531	64.63616943	65.09700012	65.54212952	66.00210571	66.4963913	67.02772522	67.57453918	68.10398865	68.56996155	68.93729401	69.19297791	69.34475708	69.40202233	
American Samoa	ASM	Population ages 15-64 (% of total)	SP.POP.1564.TO.ZS																																																							
